run_id,checkpoint_index,checkpoint,basis_index,basis_label,energy,magnitude,probability,phase,feasible,exact_optimal
grover_global_p2_seed2601,0,Initial,58,01011100000000,112.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,59,11011100000000,90.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,60,00111100000000,115.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,61,10111100000000,93.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,62,01111100000000,143.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,63,11111100000000,133.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,64,00000010000000,26.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,65,10000010000000,28.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,66,01000010000000,18.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,67,11000010000000,32.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,68,00100010000000,45.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,69,10100010000000,59.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,70,01100010000000,49.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,71,11100010000000,75.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,72,00010010000000,27.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,73,10010010000000,17.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,74,01010010000000,31.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,75,11010010000000,33.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,76,00110010000000,46.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,77,10110010000000,48.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,78,01110010000000,62.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,79,11110010000000,76.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,80,00001010000000,54.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,81,10001010000000,44.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,82,01001010000000,46.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,83,11001010000000,48.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,84,00101010000000,85.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,85,10101010000000,87.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,86,01101010000000,89.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,87,11101010000000,103.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,88,00011010000000,67.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,89,10011010000000,45.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,90,01011010000000,71.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,91,11011010000000,61.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,92,00111010000000,98.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,93,10111010000000,88.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,94,01111010000000,114.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,95,11111010000000,116.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,96,00000110000000,45.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,97,10000110000000,35.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,98,01000110000000,37.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,99,11000110000000,39.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,100,00100110000000,64.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,101,10100110000000,66.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,102,01100110000000,68.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,103,11100110000000,82.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,104,00010110000000,58.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,105,10010110000000,36.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,106,01010110000000,62.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,107,11010110000000,52.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,108,00110110000000,77.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,109,10110110000000,67.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,110,01110110000000,93.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,111,11110110000000,95.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,112,00001110000000,85.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,113,10001110000000,63.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,114,01001110000000,77.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,115,11001110000000,67.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,116,00101110000000,116.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,117,10101110000000,106.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,118,01101110000000,120.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,119,11101110000000,122.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,120,00011110000000,110.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,121,10011110000000,76.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,122,01011110000000,114.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,123,11011110000000,92.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,124,00111110000000,141.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,125,10111110000000,119.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,126,01111110000000,157.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,127,11111110000000,147.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,128,00000001000000,27.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,129,10000001000000,29.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,130,01000001000000,19.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,131,11000001000000,33.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,132,00100001000000,34.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,133,10100001000000,48.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,134,01100001000000,38.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,135,11100001000000,64.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,136,00010001000000,28.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,137,10010001000000,18.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,138,01010001000000,32.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,139,11010001000000,34.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,140,00110001000000,35.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,141,10110001000000,37.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,142,01110001000000,51.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,143,11110001000000,65.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,144,00001001000000,43.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,145,10001001000000,33.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,146,01001001000000,35.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,147,11001001000000,37.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,148,00101001000000,62.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,149,10101001000000,64.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,150,01101001000000,66.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,151,11101001000000,80.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,152,00011001000000,56.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,153,10011001000000,34.0,0.0078125,6.103515625e-05,0.0,False,False
grover_global_p2_seed2601,0,Initial,154,01011001000000,60.0,0.0078125,6.103515625e-05,0.0,False,False
