method,depth,seed_count,seeds,p_feas_min,p_feas_max,optimizer_cap_hits,p_opt_median,p_opt_min,p_opt_max,bsp_median,bsp_min,bsp_max,expected_route_cost_median,expected_route_cost_min,expected_route_cost_max,top3_lowest_cost_mass_median,top3_lowest_cost_mass_min,top3_lowest_cost_mass_max,top5_lowest_cost_mass_median,top5_lowest_cost_mass_min,top5_lowest_cost_mass_max,probability_entropy_median,probability_entropy_min,probability_entropy_max,p_opt_amplification_median,p_opt_amplification_min,p_opt_amplification_max,optimizer_evaluations_median,optimizer_evaluations_min,optimizer_evaluations_max,optimizer_runtime_seconds_median,optimizer_runtime_seconds_min,optimizer_runtime_seconds_max
bsp_path_exchange,1,3,"[2601,2602,2603]",0.9999999999999999,1.0,3,0.15223063810629836,0.06448701746095556,0.15346229062801953,0.15223063810629836,0.06448701746095556,0.15346229062801953,11.621788435322495,11.612905679812975,12.086169456798345,0.16963413648735598,0.16730206471156908,0.17630084475283184,0.4750125868106418,0.2007320210502108,0.4763961524095035,2.5489817348935055,2.5454367122191273,2.581753493814558,4.043799710012596,1.7130098497393094,4.076516882929487,150.0,150.0,150.0,0.2277348912321031,0.22659898595884442,0.27014300413429737
bsp_path_exchange,2,3,"[2601,2602,2603]",0.9999999999999998,1.0000000000000002,3,0.13608154250330837,0.09402561019623416,0.15484925813229986,0.13608154250330837,0.09402561019623416,0.15484925813229986,11.90109091616809,11.72770869045565,12.201363833699242,0.17333305423514686,0.14641433950276514,0.23983093569785338,0.37229113792856905,0.3100449954188287,0.4509225361037573,2.6082214616875525,2.5680368762753343,2.681063399934712,3.6148209648093026,2.4976623626828114,4.1133597869688785,150.0,150.0,150.0,0.23585810977965593,0.22820547223091125,0.2387947691604495
bsp_path_exchange,3,3,"[2601,2602,2603]",0.9999999999999998,1.0000000000000002,3,0.444655601258362,0.25582340194245234,0.4620938279091879,0.444655601258362,0.25582340194245234,0.4620938279091879,11.376769291289092,11.173706281061584,11.52516178643356,0.4719529492181149,0.3003427852826511,0.5038826640832419,0.4818226946304526,0.43849542468537583,0.6339658046804664,2.101506523023043,2.0047157547379504,2.4764387642902363,11.811670855432398,6.795600487905487,12.274893612368516,150.0,150.0,150.0,0.25013053696602583,0.24433185113593936,0.25249000638723373
bsp_path_exchange,4,3,"[2601,2602,2603]",0.9999999999999999,1.0,3,0.3743386682082613,0.23324204629831408,0.4492364507733347,0.3743386682082613,0.23324204629831408,0.4492364507733347,11.530112534217508,11.370958961428427,11.822363676051964,0.46954841908781664,0.28249994349826446,0.49561738127597516,0.49962531930811654,0.4298789949667191,0.5495047956341242,2.2611989201511995,2.172463942985601,2.470328642567878,9.943797232788706,6.195757509242444,11.933354888099483,150.0,150.0,150.0,0.2821847968734801,0.2783634699881077,0.3070928887464106
gm_qaoa_expectation,1,3,"[2601,2602,2603]",1.0,1.0,0,0.049999999999999996,0.049999999999999996,0.18209012890107854,0.049999999999999996,0.049999999999999996,0.18209012890107854,12.199999999999998,12.073888527266073,12.2,0.15000000000000002,0.15,0.3402478299676456,0.25000000000000006,0.24999999999999997,0.4984055310342126,2.9957322735539904,2.478292769061629,2.995732273553991,0.9999999999999999,0.9999999999999999,3.6418025780215704,26.0,23.0,84.0,0.04556574812158942,0.036676212679594755,0.13079904532060027
gm_qaoa_expectation,2,3,"[2601,2602,2603]",1.0,1.0000000000000002,0,0.17092725086994087,0.05183031279463621,0.18764919874864866,0.17092725086994087,0.05183031279463621,0.18764919874864866,11.306631295506946,11.235654135534993,12.285040339575133,0.38481753186748713,0.1381035850024588,0.42229125834293807,0.5987078128650334,0.22437685721028142,0.6569333179372275,2.5934969788855122,2.4712503029830106,2.9899274821238087,3.4185450173988174,1.036606255892724,3.752983974972973,96.0,76.0,144.0,0.13521939981728792,0.13322944520041347,0.2351500210352242
gm_qaoa_expectation,3,3,"[2601,2602,2603]",1.0,1.0000000000000002,0,0.18241037088491963,0.12180008627831207,0.2911546050616289,0.18241037088491963,0.12180008627831207,0.2911546050616289,11.976606604360605,11.239436560073454,12.145993030610438,0.3316092362853858,0.2334991145108825,0.4161347950893143,0.3720638675091427,0.34519814274345295,0.6498592192937088,2.481900393635873,2.3310727628156163,2.819245256605328,3.6482074176983925,2.4360017255662414,5.823092101232577,129.0,104.0,136.0,0.25473887706175447,0.23613894497975707,0.27796190278604627
gm_qaoa_expectation,4,3,"[2601,2602,2603]",0.9999999999999998,1.0,2,0.17561522358754758,0.17196222814253656,0.1896558108717678,0.17561522358754758,0.17196222814253656,0.1896558108717678,12.021825762755059,11.289461966292643,12.140939180756797,0.3559050848217527,0.31115215063060264,0.39786739361468487,0.5221543587717377,0.4503420731186688,0.6201195636418222,2.533631035134222,2.44480061053825,2.589393218630298,3.5123044717509515,3.439244562850731,3.793116217435356,150.0,136.0,150.0,0.30974748404696584,0.27045200392603874,0.315277342684567
gm_th_qaoa,1,3,"[2601,2602,2603]",1.0,1.0,0,0.39199999999999985,0.39199999999999985,0.39199999999999985,0.39199999999999985,0.39199999999999985,0.39199999999999985,11.408000000000001,11.408000000000001,11.408000000000001,0.4559999999999999,0.4559999999999999,0.4559999999999999,0.5199999999999999,0.5199999999999999,0.5199999999999999,2.459853208882042,2.459853208882042,2.459853208882042,7.839999999999996,7.839999999999996,7.839999999999996,69.0,66.0,81.0,0.10831384127959609,0.10643714899197221,0.11667074682191014
gm_th_qaoa,2,3,"[2601,2602,2603]",0.9999999999999999,1.0,3,0.8160799494182859,0.8160798566685643,0.8160799995493735,0.8160799494182859,0.8160798566685643,0.8160799995493735,10.425920117136604,10.425920001043563,10.42592033192543,0.8354399547426768,0.8354398717560838,0.8354399995968078,0.8547999600670678,0.8547998868436033,0.8547999996442421,1.0188272476787086,1.0188270253748917,1.0188276589726963,16.321598988365718,16.321597133371284,16.32159999098747,150.0,150.0,150.0,0.2502779299393296,0.24883238598704338,0.2600926635786891
