algorithm,depth,n_paired_seeds,expectation_median_p_opt,cvar_010_median_p_opt,median_paired_ratio,geometric_mean_ratio,win_count,median_p_feas_difference,median_p_opt_given_feas_difference
global_grover,50,5,0.00039107354391001585,0.0007705748075382623,2.282851046650607,2.3294131086157797,5,0.010845803928520314,-0.002295981263567816
global_grover,100,5,0.0003207924335535712,0.0014222812139758016,4.1037269318517104,3.8504990074006424,5,0.021603467542892132,0.001701793286092261
global_grover,110,10,0.0005464230654687013,0.0022637207804591837,3.929006271764717,4.00542830547385,10,0.03145507496094077,-0.0023108051262943075
penalty_x,50,5,5.684379229626499e-05,4.480649170215878e-05,0.7882389596498272,0.5600473764299534,1,0.001493137629243687,-0.023435215074217947
penalty_x,100,5,2.783335050391896e-05,0.00011725619276843158,1.2598934719328647,2.3170770624000077,3,0.0037778177821290414,-0.011134626191602959
penalty_x,110,10,5.5089965349349666e-05,0.00027266549929379604,2.970995322021848,2.766293234654008,7,0.0038064338077955363,-0.0049510973725071785
