run_id,algorithm,depth,seed,objective_kind,p_opt,p_feas,p_opt_given_feas,P_feasible_top1,P_feasible_top3,P_feasible_top5,P_feasible_top10,P_feasible_all,Q_feasible_top1,Q_feasible_top3,Q_feasible_top5,Q_feasible_top10,energy_top1_mass,energy_top5_mass,energy_top10_mass,energy_top20_mass,energy_top50_mass,energy_top100_mass,shannon_entropy_full,shannon_entropy_feasible_conditional
cvarr-96c7649deda485a6273db7c38cc3980936d0020cd428b87035ec64c4116c547a,global_grover,110,8601,cvar_0.05,0.003544685436727781,0.06294629756133567,0.05631285038288065,0.003544685436727781,0.010594494458499967,0.017644303480272152,0.033329007034790366,0.06294629756133567,0.05631285038288065,0.16831004950174483,0.280307248620609,0.5294831995847596,0.003544685436727781,0.017644303480272152,0.033329007034790366,0.06329176442609939,0.12590626159555388,0.19778312393678052,8.537972682205947,2.9927562127089335
cvarr-cde57bccb3f4bc7c9d07de9c81d33a53e0d92b425c9aee4549252662cbcb81ee,global_grover,110,8601,cvar_0.10,0.0019066757795614764,0.03988548922718206,0.04780374558530103,0.0019066757795614764,0.0058553412680225365,0.009804006756483597,0.02002499879556518,0.03988548922718206,0.04780374558530103,0.1468037971070468,0.2458038486287926,0.5020622583192007,0.0019066757795614764,0.009804006756483597,0.02002499879556518,0.03997116060723189,0.08663151482519783,0.1421604378280763,8.812202274593002,2.9955354990384113
cvarr-3fadacd12c63156df58658254685e2eed8f62d6578cb5663fa86ff34d9e79a01,global_grover,110,8601,cvar_0.25,0.001013692682842533,0.02184852151780154,0.04639639721235168,0.001013692682842533,0.003328141447300177,0.005642590211757821,0.011368210904121372,0.02184852151780154,0.04639639721235168,0.15232799366256908,0.25825959011278643,0.5203194593674855,0.001013692682842533,0.005642590211757821,0.011368210904121372,0.02209514231981667,0.049108388507290296,0.09727724089882495,8.879535792582384,2.993083337257474
cvarr-307617aa1863d4245618d6bb40edc75634a163148175006494ac6ec3e1950d03,global_grover,110,8601,cvar_0.50,0.0012536181352020307,0.023203816962130287,0.05402637580049843,0.0012536181352020307,0.0035593763951287547,0.005865134655055479,0.01184341766148404,0.023203816962130287,0.05402637580049843,0.1533961589568571,0.2527659421132158,0.5104081660708257,0.0012536181352020307,0.005865134655055479,0.01184341766148404,0.023383222864562837,0.054306196513532634,0.1012256995128854,8.522074846422868,2.994603022562297
cvarr-591e4ba510bca2bfec2eebd2571eed93d92c295c9f426eb52aae840713088692,global_grover,110,8601,expectation,0.0005398857216771001,0.01008923201507999,0.053511082000111954,0.0005398857216771001,0.0015870624881210394,0.0026342392545649785,0.005242123655804204,0.01008923201507999,0.053511082000111954,0.1573026059613772,0.26109412992264247,0.5195760834887138,0.0005398857216771001,0.0026342392545649785,0.005242123655804204,0.010148865069469217,0.024600199051949812,0.04759167573705118,8.643810089542391,2.9945467900184286
cvarr-98aa6407284784f4abf2da3f10eed27e04095468e6dcd9e340cddbd20ddb4199,global_grover,110,8602,cvar_0.05,0.003277488438368958,0.06056014349742988,0.054119561960880296,0.003277488438368958,0.009849464317397203,0.016421440196425448,0.03187227434759893,0.06056014349742988,0.054119561960880296,0.16263938208493853,0.27115920220899675,0.5262912619906781,0.003277488438368958,0.016421440196425448,0.03187227434759893,0.06093428113411916,0.11879999125296442,0.17948540462760873,8.767005432686155,2.993684028306015
cvarr-dfc352caee13a5429d419a18118cf8a0dd05fc367aeee8309e7eb516d0bc7ca3,global_grover,110,8602,cvar_0.10,0.0023747296127165575,0.04567797467982593,0.05198850494930935,0.0023747296127165575,0.006882867462035702,0.011391005311354847,0.022741121695249913,0.04567797467982593,0.05198850494930935,0.1506824133574289,0.2493763217655485,0.49785748721678164,0.0023747296127165575,0.011391005311354847,0.022741121695249913,0.04580729526920177,0.09769270370477062,0.15798984053722065,8.549565418602874,2.9953345887649765
cvarr-98cebf430484906cb62f44d4c50d7eb6d5575afee84d23e686aa33b78f785ddc,global_grover,110,8602,cvar_0.25,0.002686604470314241,0.057247304034372254,0.046929798977103934,0.002686604470314241,0.008146657347775357,0.013606710225236473,0.02804900278706361,0.057247304034372254,0.046929798977103934,0.14230639302916284,0.23768298708122174,0.4899619861613485,0.002686604470314241,0.013606710225236473,0.02804900278706361,0.05731517450089762,0.12934749964511844,0.21960298089074753,8.428583141066618,2.9952090761679444
cvarr-48359b3d05ee17c7490b420e997081221401ce38412600e335213825aeb4d95a,global_grover,110,8602,cvar_0.50,0.0017080383690087331,0.038679267652283265,0.0441590152213729,0.0017080383690087331,0.005376000015403672,0.00904396166179861,0.018945346763056398,0.038679267652283265,0.0441590152213729,0.13898918830967893,0.23381936139798495,0.48980624280092955,0.0017080383690087331,0.00904396166179861,0.018945346763056398,0.03869129730706398,0.09795126382528789,0.18322207276286617,8.356637576393425,2.9949296683175217
cvarr-b988377490e1bfee1884f42e6521fd2899fd49c103b521b5a97f86297fffa353,global_grover,110,8602,expectation,0.0006014280695784493,0.012564081970046461,0.047868843184268504,0.0006014280695784493,0.0019017505891228339,0.003202073108667218,0.0063826921477459116,0.012564081970046461,0.047868843184268504,0.1513640705032587,0.25485929782224886,0.5080110240416005,0.0006014280695784493,0.003202073108667218,0.0063826921477459116,0.012604119064953184,0.031961206354339335,0.06436438583918275,8.440597033149142,2.995375788488536
