algorithm,depth,seed,cvar_objective,cvar_alpha,expectation_run_id,cvar_run_id,initial_parameters_hash,expectation_p_opt,cvar_p_opt,absolute_difference,ratio,expectation_p_feas,cvar_p_feas,p_feas_difference,expectation_p_opt_given_feas,cvar_p_opt_given_feas,p_opt_given_feas_difference,expectation_P_feasible_top3,cvar_P_feasible_top3,P_feasible_top3_difference,expectation_P_feasible_top5,cvar_P_feasible_top5,P_feasible_top5_difference
global_grover,110,8601,cvar_0.05,0.05,cvarr-591e4ba510bca2bfec2eebd2571eed93d92c295c9f426eb52aae840713088692,cvarr-96c7649deda485a6273db7c38cc3980936d0020cd428b87035ec64c4116c547a,558426b91a78f597c449213303c8281b5c3ab4b93db1180558204ce01ca9db32,0.0005398857216771001,0.003544685436727781,0.003004799715050681,6.56562174994474,0.01008923201507999,0.06294629756133567,0.05285706554625568,0.053511082000111954,0.05631285038288065,0.002801768382768695,0.0015870624881210394,0.010594494458499967,0.009007431970378926,0.0026342392545649785,0.017644303480272152,0.015010064225707173
global_grover,110,8601,cvar_0.10,0.1,cvarr-591e4ba510bca2bfec2eebd2571eed93d92c295c9f426eb52aae840713088692,cvarr-cde57bccb3f4bc7c9d07de9c81d33a53e0d92b425c9aee4549252662cbcb81ee,558426b91a78f597c449213303c8281b5c3ab4b93db1180558204ce01ca9db32,0.0005398857216771001,0.0019066757795614764,0.0013667900578843762,3.5316284595165475,0.01008923201507999,0.03988548922718206,0.02979625721210207,0.053511082000111954,0.04780374558530103,-0.005707336414810922,0.0015870624881210394,0.0058553412680225365,0.004268278779901497,0.0026342392545649785,0.009804006756483597,0.007169767501918618
global_grover,110,8601,cvar_0.25,0.25,cvarr-591e4ba510bca2bfec2eebd2571eed93d92c295c9f426eb52aae840713088692,cvarr-3fadacd12c63156df58658254685e2eed8f62d6578cb5663fa86ff34d9e79a01,558426b91a78f597c449213303c8281b5c3ab4b93db1180558204ce01ca9db32,0.0005398857216771001,0.001013692682842533,0.00047380696116543295,1.8776060231665321,0.01008923201507999,0.02184852151780154,0.011759289502721551,0.053511082000111954,0.04639639721235168,-0.007114684787760277,0.0015870624881210394,0.003328141447300177,0.0017410789591791377,0.0026342392545649785,0.005642590211757821,0.0030083509571928423
global_grover,110,8601,cvar_0.50,0.5,cvarr-591e4ba510bca2bfec2eebd2571eed93d92c295c9f426eb52aae840713088692,cvarr-307617aa1863d4245618d6bb40edc75634a163148175006494ac6ec3e1950d03,558426b91a78f597c449213303c8281b5c3ab4b93db1180558204ce01ca9db32,0.0005398857216771001,0.0012536181352020307,0.0007137324135249307,2.3220064633452306,0.01008923201507999,0.023203816962130287,0.013114584947050298,0.053511082000111954,0.05402637580049843,0.0005152938003864793,0.0015870624881210394,0.0035593763951287547,0.0019723139070077153,0.0026342392545649785,0.005865134655055479,0.0032308954004905003
global_grover,110,8602,cvar_0.05,0.05,cvarr-b988377490e1bfee1884f42e6521fd2899fd49c103b521b5a97f86297fffa353,cvarr-98aa6407284784f4abf2da3f10eed27e04095468e6dcd9e340cddbd20ddb4199,673a26f6768a3abebeb07be363a384cd3d0909de0d74b939895de5d92617dee2,0.0006014280695784493,0.003277488438368958,0.0026760603687905086,5.449510264238586,0.012564081970046461,0.06056014349742988,0.04799606152738342,0.047868843184268504,0.054119561960880296,0.006250718776611791,0.0019017505891228339,0.009849464317397203,0.007947713728274368,0.003202073108667218,0.016421440196425448,0.01321936708775823
global_grover,110,8602,cvar_0.10,0.1,cvarr-b988377490e1bfee1884f42e6521fd2899fd49c103b521b5a97f86297fffa353,cvarr-dfc352caee13a5429d419a18118cf8a0dd05fc367aeee8309e7eb516d0bc7ca3,673a26f6768a3abebeb07be363a384cd3d0909de0d74b939895de5d92617dee2,0.0006014280695784493,0.0023747296127165575,0.0017733015431381082,3.9484848360686655,0.012564081970046461,0.04567797467982593,0.03311389270977946,0.047868843184268504,0.05198850494930935,0.004119661765040847,0.0019017505891228339,0.006882867462035702,0.004981116872912869,0.003202073108667218,0.011391005311354847,0.00818893220268763
global_grover,110,8602,cvar_0.25,0.25,cvarr-b988377490e1bfee1884f42e6521fd2899fd49c103b521b5a97f86297fffa353,cvarr-98cebf430484906cb62f44d4c50d7eb6d5575afee84d23e686aa33b78f785ddc,673a26f6768a3abebeb07be363a384cd3d0909de0d74b939895de5d92617dee2,0.0006014280695784493,0.002686604470314241,0.002085176400735792,4.467042039120864,0.012564081970046461,0.057247304034372254,0.04468322206432579,0.047868843184268504,0.046929798977103934,-0.0009390442071645702,0.0019017505891228339,0.008146657347775357,0.006244906758652523,0.003202073108667218,0.013606710225236473,0.010404637116569256
global_grover,110,8602,cvar_0.50,0.5,cvarr-b988377490e1bfee1884f42e6521fd2899fd49c103b521b5a97f86297fffa353,cvarr-48359b3d05ee17c7490b420e997081221401ce38412600e335213825aeb4d95a,673a26f6768a3abebeb07be363a384cd3d0909de0d74b939895de5d92617dee2,0.0006014280695784493,0.0017080383690087331,0.0011066102994302838,2.8399711543325954,0.012564081970046461,0.038679267652283265,0.026115185682236804,0.047868843184268504,0.0441590152213729,-0.0037098279628956024,0.0019017505891228339,0.005376000015403672,0.0034742494262808383,0.003202073108667218,0.00904396166179861,0.005841888553131392
global_grover,110,8603,cvar_0.05,0.05,cvarr-2a1e9e6539e085051d55333677f5eccede25592bb033125f3d80fd68eea09f5f,cvarr-8fa1376bc07ad42bb6ce2fa828bcfb7f7a0566f86f9e397c32f8e39761396feb,4f2b07d901a111359124e0e2b6aacf10aba321589b6f712f163c3d3bfe840ab4,0.000478425956867079,0.0016940445575009835,0.0012156186006339045,3.540870918865382,0.008895475461072526,0.033806319602304694,0.024910844141232166,0.053783067466232466,0.05011029231899868,-0.003672775147233784,0.0013138336802109487,0.00507267686558921,0.003758843185378261,0.0021492414035548186,0.008451309173677436,0.006302067770122617
global_grover,110,8603,cvar_0.10,0.1,cvarr-2a1e9e6539e085051d55333677f5eccede25592bb033125f3d80fd68eea09f5f,cvarr-95d8041e7473fd5469101b71f061f35cd83849546dfa2146814205699fcda92c,4f2b07d901a111359124e0e2b6aacf10aba321589b6f712f163c3d3bfe840ab4,0.000478425956867079,0.0018771877617131637,0.0013987618048460846,3.923674572353319,0.008895475461072526,0.03586230664842352,0.026966831187350992,0.053783067466232466,0.0523443118178703,-0.0014387556483621694,0.0013138336802109487,0.005568644195608276,0.004254810515397328,0.0021492414035548186,0.009260100629503389,0.00711085922594857
