algorithm,depth,objective_kind,prior_source,prior_run_id,prior_observed_p_opt,prior_observed_p_feas,fresh_seed_n,fresh_median_p_opt,fresh_p_opt_q25,fresh_p_opt_q75,fresh_median_p_feas
penalty_x,110,expectation,results/global_depth110_recovery_bfo_v1,bfo-c48efee34122dc81650a3dd2f36f26200c71bdc9805103ef704365fe01a92385,0.0003727607654384,0.1631364622510617,10,5.5089965349349666e-05,4.366073439779397e-05,0.00015449626421505135,0.0014475674250602076
penalty_x,110,cvar_0.10,results/global_depth110_recovery_bfo_v1,bfo-4df21966fd8ad7d401bad12a3419c58ad68467dfb4c3683a061b6c2f64c341b8,0.0077411409496732,0.2183129811478393,10,0.00027266549929379604,7.784121988633095e-05,0.00047649844120314325,0.005136151939542358
global_grover,110,expectation,results/global_depth110_recovery_bfo_v1,bfo-a056f46a9a0de6b70e556fa6327c33f5bfff68dd1b436168d3c3cebb769fe273,0.0011152152122878,0.0234550305935966,10,0.0005464230654687013,0.0004902974347650521,0.0006318895042712488,0.01014102415574825
global_grover,110,cvar_0.10,results/global_depth110_recovery_bfo_v1,bfo-899a7f2b392e8392819dc013a10969eaf5211b86380e42d43031daad999a4192,0.0021857195090747,0.044397630322768,10,0.0022637207804591837,0.0018845597661752418,0.002667973031020563,0.042651160673691124
