checkpoint_budget,paired_seed_count,expectation_median_p_opt,cvar_010_median_p_opt,paired_win_count,median_paired_ratio,geometric_mean_paired_ratio,bootstrap_95_low,bootstrap_95_high,frozen_rule_classification
1000,10,0.0004927833234322457,0.0011592877109312298,10,2.4469735535183004,2.8243140567321507,2.049724903925734,4.2395412545706455,ROBUST_CVAR_RECOVERY
2500,10,0.0005458488939133546,0.001927573357872654,10,3.285443958558049,3.6199684694099346,2.2991838341599715,6.163263146482719,ROBUST_CVAR_RECOVERY
5500,10,0.0005223361637385674,0.002059419289336357,10,3.145172927433115,3.7355245887148865,2.5514139812591132,5.933534056492469,ROBUST_CVAR_RECOVERY
8000,10,0.0005440489742913436,0.0021108719329237143,10,2.912122678422368,3.7137022500399723,2.582281061950725,5.8533794974017805,ROBUST_CVAR_RECOVERY
11000,10,0.000542156303245342,0.0021647308229568235,10,2.889049345837337,3.743774631660152,2.618070717216496,5.765866966578187,ROBUST_CVAR_RECOVERY
