algorithm,depth,n_parameters,evaluation_budget,nfev,optimizer_wall_time_s,wall_time_s,status
penalty_x,3,6,120,120,0.6999580969568342,0.7113170730881393,BUDGET_LIMITED
penalty_x,4,8,120,120,0.8803082820959389,0.8939862679690123,BUDGET_LIMITED
penalty_x,5,10,120,120,1.0170134110376239,1.0332627440802753,BUDGET_LIMITED
penalty_x,6,12,120,120,1.1036195801571012,1.1230502100661397,BUDGET_LIMITED
penalty_x,7,14,120,120,1.2265506889671087,1.2487945549655706,BUDGET_LIMITED
penalty_x,8,16,120,120,1.4556482178159058,1.4803067999891937,BUDGET_LIMITED
penalty_x,9,18,120,120,1.5051849458832294,1.5304246759042144,BUDGET_LIMITED
penalty_x,10,20,120,120,1.642784349853173,1.670939784962684,BUDGET_LIMITED
penalty_x,11,22,120,120,1.6548497658222914,1.6865497338585556,BUDGET_LIMITED
penalty_x,12,24,120,120,1.577149118995294,1.6115263199899346,BUDGET_LIMITED
penalty_x,13,26,120,120,1.7340396461077034,1.7704408208373934,BUDGET_LIMITED
penalty_x,14,28,120,120,2.0281775379553437,2.067128448979929,BUDGET_LIMITED
penalty_x,15,30,124,124,2.1372696361504495,2.1790801079478115,BUDGET_LIMITED
penalty_x,16,32,128,128,2.526542920153588,2.5718038349878043,BUDGET_LIMITED
penalty_x,17,34,132,132,2.5889767198823392,2.6364770350046456,BUDGET_LIMITED
penalty_x,18,36,136,136,2.950723492074758,3.0014835968613625,BUDGET_LIMITED
penalty_x,19,38,140,140,2.5565538888331503,2.6112646858673543,BUDGET_LIMITED
penalty_x,20,40,144,144,3.29829516611062,3.358243583003059,BUDGET_LIMITED
penalty_x,21,42,148,148,2.8513135290704668,2.9147925230208784,BUDGET_LIMITED
penalty_x,22,44,152,152,3.456085041165352,3.5190315151121467,BUDGET_LIMITED
penalty_x,23,46,156,156,3.3198259179480374,3.387972096912563,BUDGET_LIMITED
penalty_x,24,48,160,160,3.837030339986086,3.9069567820988595,BUDGET_LIMITED
penalty_x,25,50,164,164,4.024055941961706,4.095847258111462,BUDGET_LIMITED
penalty_x,26,52,168,168,4.550016653025523,4.624350277008489,BUDGET_LIMITED
penalty_x,27,54,172,172,4.11816406599246,4.1945320789236575,BUDGET_LIMITED
penalty_x,28,56,176,176,4.8106448848266155,4.890183775918558,BUDGET_LIMITED
penalty_x,29,58,180,180,5.987372502917424,6.070761669892818,BUDGET_LIMITED
penalty_x,30,60,184,184,5.086077061016113,5.171936189988628,BUDGET_LIMITED
penalty_x,31,62,188,188,6.150388536043465,6.2399452270474285,BUDGET_LIMITED
