algorithm,depth,focus_p95_p105,p_opt,p_feas,p_invalid,p_opt_given_feasible,expected_penalized_cost,expected_feasible_route_cost,normalized_regret,entropy,effective_support_size,max_state_probability,top_state,nfev,evaluation_budget,status,wall_time_s
global_grover,90,False,0.0007387539558478011,0.015233595737909576,0.9847664042620904,0.04849504795570847,37.75421583080232,12.219816867223672,0.554954216805918,8.01748587589551,2214.0879777222767,0.0008702789835606222,10000100000000,424,424,BUDGET_LIMITED,8.511531034018844
penalty_x,90,False,0.00015926354579888442,0.1356734323506734,0.8643265676493266,0.0011738742290180878,19.519583145334273,13.044314386925304,0.761078596731326,4.399946465461648,17.151748917992226,0.18901349608037177,00000000000000,424,424,BUDGET_LIMITED,38.09637675690465
global_grover,91,False,0.0007378140546015221,0.01525618941527923,0.9847438105847208,0.04836162127500815,37.73556309320708,12.219991427717646,0.5549978569294116,8.016319758511493,2207.9061878423176,0.0008722008572514818,10000100000000,428,428,BUDGET_LIMITED,7.869752612896264
penalty_x,91,False,0.0002444212330167808,0.15684890503009466,0.8431510949699054,0.0015583228519821903,19.28686177654328,13.090279291090585,0.7725698227726463,4.426953816665847,20.375017424665614,0.16086555729411503,00000000000000,428,428,BUDGET_LIMITED,43.031578812981024
global_grover,92,False,0.0007377819267719927,0.01525618652399923,0.9847438134760008,0.048359524551656555,37.73535047407209,12.220019692402337,0.5550049231005842,8.01631465912821,2207.8268684990458,0.000872208821261917,10000100000000,432,432,BUDGET_LIMITED,8.641815932001919
penalty_x,92,False,0.0002902505456148687,0.17030021092302597,0.8296997890769741,0.0017043463659951609,18.988016422465904,13.10898377502613,0.7772459437565327,4.354734138494079,19.202935852577024,0.16806359696326656,00000000000000,432,432,BUDGET_LIMITED,37.66742122801952
global_grover,93,False,0.0007378325904611716,0.015252473520788856,0.9847475264792112,0.048374618677784864,37.735320872791,12.220122958070956,0.555030739517739,8.016338331691255,2207.783683967564,0.0008720754678316886,10000100000000,436,436,BUDGET_LIMITED,8.768847867846489
penalty_x,93,False,0.00027622019358441226,0.17979733162881303,0.8202026683711869,0.0015362863902488929,18.876317878103805,13.1094835571619,0.7773708892904749,4.333384736958413,18.76355163509905,0.16880338717038018,00000000000000,436,436,BUDGET_LIMITED,42.883960337145254
global_grover,94,False,0.0007379962970180402,0.015251761623131802,0.9847482383768682,0.048387610248166193,37.7351933981933,12.220160492772026,0.5550401231930064,8.016324650822359,2207.748520525392,0.0008719047977923881,10000100000000,440,440,BUDGET_LIMITED,10.675322821130976
penalty_x,94,False,0.000275744082879135,0.1838419472948074,0.8161580527051926,0.0014998975312035512,18.88683911422698,13.132330187593803,0.7830825468984508,4.364439959173238,19.176714983248644,0.17383449098955858,00000000000000,440,440,BUDGET_LIMITED,44.49934197892435
global_grover,95,True,0.0007379136139879748,0.015253717520024862,0.9847462824799751,0.048375985265182234,37.73515814567368,12.219926839589988,0.554981709897497,8.016321530002728,2207.7733956557554,0.0008721927245909826,10000100000000,444,444,BUDGET_LIMITED,10.993016436928883
penalty_x,95,True,0.0002823937815409814,0.18704019251633838,0.8129598074836616,0.0015098026672332133,18.68582930789082,13.108903200240984,0.7772258000602461,4.327237608072397,18.814746228683152,0.1731259470044842,00000000000000,444,444,BUDGET_LIMITED,46.58358244597912
global_grover,96,True,0.0007421178838273204,0.015339910627354986,0.984660089372645,0.04837824038582952,37.72927792151762,12.220488494973045,0.5551221237432613,8.014886498998372,2206.8167095669883,0.0008735654217999497,10000100000000,448,448,BUDGET_LIMITED,8.612038472201675
penalty_x,96,True,0.00027170435591430383,0.18842808774666506,0.8115719122533349,0.0014419525197305022,18.68847082279442,13.11081435664653,0.7777035891616326,4.322920337889663,18.473644531016475,0.17593629459205198,00000000000000,448,448,BUDGET_LIMITED,42.45114570809528
global_grover,97,True,0.0007070147331342638,0.015213264816438064,0.984786735183562,0.04647357037855071,36.02738555006361,12.245295494591822,0.5613238736479556,7.869384663596156,1843.0224623486872,0.0010219915351946933,10000100000000,452,452,BUDGET_LIMITED,17.516248122090474
penalty_x,97,True,0.00027031880350798966,0.18870479017246233,0.8112952098275377,0.0014324957159854719,18.688072616160177,13.11100232893989,0.7777505822349724,4.321447846268864,18.373064456992623,0.17671959545739746,00000000000000,452,452,BUDGET_LIMITED,44.36285966797732
global_grover,98,True,0.0008161189254992881,0.0175853095719641,0.9824146904280359,0.046409130425568955,34.43395271502612,12.246278317396536,0.561569579349134,7.696591657792009,1578.3003061776813,0.0011712532094508867,10000100000000,456,456,BUDGET_LIMITED,11.05105717596598
penalty_x,98,True,0.00023575346828397164,0.18839293957992537,0.8116070604200747,0.0012513922698464696,18.87403575347969,13.120095857258287,0.7800239643145717,4.343057165569677,17.62957041217304,0.1839975004904935,00000000000000,456,456,BUDGET_LIMITED,43.8341446518898
global_grover,99,True,0.0008183055704733459,0.01773804552417638,0.9822619544758237,0.04613279232810751,34.39395842498041,12.247165809946567,0.5617914524866419,7.689910776155724,1570.1319485150648,0.0011816443137489193,10000100000000,460,460,BUDGET_LIMITED,12.58100262703374
penalty_x,99,True,0.00023301112875876752,0.1757141856959731,0.8242858143040269,0.0013260803493801668,18.796819673848653,13.11693020888542,0.7792325522213548,4.309674496245565,17.033645369861908,0.19037317262504416,00000000000000,460,460,BUDGET_LIMITED,46.289973297854885
global_grover,100,True,0.0008439592737625252,0.0183336697978007,0.9816663302021993,0.04603329737419871,34.154057582838085,12.246927690178378,0.5617319225445945,7.65499449159911,1539.7228561367629,0.0011954893628141842,10000100000000,464,464,BUDGET_LIMITED,11.298627637093887
penalty_x,100,True,0.0001348414792719059,0.17759806548073492,0.822401934519265,0.0007592508336558031,19.02360400816378,13.165630175591392,0.7914075438978481,4.379460739531785,20.24673040502919,0.15399047132437726,00000000000000,464,464,BUDGET_LIMITED,50.272004605969414
global_grover,101,True,0.0008719418955819544,0.01886663542194515,0.9811333645780549,0.04621607807016484,34.11530598721373,12.246112183906737,0.5615280459766843,7.647741591863469,1525.3793933522104,0.0012148060692675545,10000100000000,468,468,BUDGET_LIMITED,11.173421910963953
penalty_x,101,True,0.0001438791568135757,0.17975610944377984,0.8202438905562202,0.000800413166811307,18.976687077125437,13.158880224482843,0.7897200561207107,4.38010537934502,20.432581735925993,0.15320690069275242,00000000000000,468,468,BUDGET_LIMITED,49.14568982110359
global_grover,102,True,0.000883067841156081,0.019101907504876305,0.9808980924951237,0.04622930149413888,34.012543362075185,12.246074545805325,0.5615186364513312,7.641651970643881,1509.8108051337801,0.0012252361467639731,10000100000000,472,472,BUDGET_LIMITED,10.681777260033414
penalty_x,102,True,0.00017391277324292292,0.18209436674786256,0.8179056332521375,0.0009550694859425921,18.988755115447745,13.145830692271101,0.7864576730677753,4.395096348080116,20.751848552224022,0.15291449923573522,00000000000000,472,472,BUDGET_LIMITED,49.85122241801582
global_grover,103,True,0.0009293825089780482,0.01995532344318504,0.9800446765568149,0.046573161874529395,33.75392496383915,12.245346771210745,0.5613366928026862,7.60277193911859,1463.0591810149645,0.0012607358226714577,10000100000000,476,476,BUDGET_LIMITED,11.73440069006756
penalty_x,103,True,0.00019327970135714617,0.17362680658360727,0.8263731934163927,0.0011131904408094688,18.929541195252582,13.135990980778514,0.7839977451946285,4.359570307863917,19.61188502555196,0.16361690328010914,00000000000000,476,476,BUDGET_LIMITED,53.81871896609664
global_grover,104,True,0.0009292260230666774,0.019954316067420663,0.9800456839325793,0.046567670870154315,33.733287456467274,12.245509214091337,0.5613773035228342,7.602117571789544,1463.5445497060832,0.0012599241308888071,10000100000000,480,480,BUDGET_LIMITED,12.981744315009564
penalty_x,104,True,0.00033209913749498933,0.1787114069086721,0.8212885930913278,0.001858298489389118,18.73217050427347,13.140556678151313,0.7851391695378283,4.3286569550457346,18.428580545651865,0.17790860708406095,00000000000000,480,480,BUDGET_LIMITED,49.86531038302928
global_grover,105,True,0.0009333058542295409,0.020012110734965435,0.9799878892650346,0.046637052262501026,33.6719565803635,12.245401464613828,0.5613503661534569,7.599538368417362,1462.9380058607164,0.0012575282674390047,10000100000000,484,484,BUDGET_LIMITED,12.165425807936117
penalty_x,105,True,0.0004026084385192199,0.13868445741808183,0.8613155425819181,0.0029030537813296976,18.806194967563354,13.142473829568468,0.785618457392117,4.198843759389018,12.807877336106326,0.2465948422473289,00000000000000,484,484,BUDGET_LIMITED,59.279970064992085
global_grover,106,False,0.0009881227373030649,0.020921391281268294,0.9790786087187318,0.047230259403817386,33.55333045082446,12.23932912967994,0.5598322824199848,7.5735537203060534,1444.0892159902405,0.0012729536960853786,10000100000000,488,488,BUDGET_LIMITED,11.682379814097658
penalty_x,106,False,0.00034904431745775286,0.13845356855239346,0.8615464314476066,0.0025210207371843063,18.52635884737471,13.17491540940981,0.7937288523524524,4.075304787156729,11.543395457504078,0.25991406579856463,00000000000000,488,488,BUDGET_LIMITED,61.542268263874575
global_grover,107,False,0.0009613699338535616,0.020631012495928244,0.9793689875040718,0.046598291481976396,33.4397345493181,12.244288062144859,0.5610720155362148,7.570791307748284,1427.793873269783,0.0012880942073559586,10000100000000,492,492,BUDGET_LIMITED,12.405796240083873
penalty_x,107,False,0.00033138360369007393,0.1400557781748493,0.8599442218251507,0.0023660830563974732,18.44705634412088,13.169601316975175,0.7924003292437938,4.066718374216711,11.662455821294433,0.25751676125987893,00000000000000,492,492,BUDGET_LIMITED,51.93818007595837
global_grover,108,False,0.0009694609450103274,0.02088132733653158,0.9791186726634684,0.04642717052350736,33.42768156251124,12.242545631830945,0.5606364079577362,7.570190281173539,1424.9550578690632,0.0012717653833178722,10000100000000,496,496,BUDGET_LIMITED,12.629896475933492
penalty_x,108,False,0.0003068212206879945,0.14766193182678866,0.8523380681732113,0.00207786270226983,18.31050362700588,13.187574262133149,0.7968935655332872,4.038183279758258,11.617556801803696,0.2577614832405542,00000000000000,496,496,BUDGET_LIMITED,55.370010268874466
global_grover,109,False,0.001026519660382785,0.021835821266171427,0.9781641787338285,0.04701081071647594,33.29483468389526,12.236781015146473,0.5591952537866183,7.553466678453162,1392.5685251640275,0.0012960249086239788,10000100000000,500,500,BUDGET_LIMITED,13.191299104131758
penalty_x,109,False,0.00031316327596353104,0.14770606372524347,0.8522939362747566,0.0021201788746199614,18.291716907591884,13.188316101638826,0.7970790254097064,4.03439573079371,11.544872446929467,0.2593304242600361,00000000000000,500,500,BUDGET_LIMITED,59.41249213903211
global_grover,110,False,0.001029783422714649,0.02194609805728336,0.9780539019427167,0.046923303633599214,33.27459464773947,12.237095540354105,0.5592738850885262,7.551099029024201,1387.69930794758,0.0012960057087476051,10000100000000,504,504,BUDGET_LIMITED,12.682864609872922
penalty_x,110,False,0.0003578671392297369,0.14697022726160758,0.8530297727383924,0.002434963501775989,18.369254680082744,13.189673475434448,0.7974183688586121,4.064630897645409,11.195546054651894,0.27109389151943386,00000000000000,504,504,BUDGET_LIMITED,63.798645481001586
