group,stage,description,repeat_id,duration_ns,duration_ms
Model,ising_conversion,Convert canonical QUBO to Ising coefficients,13,222643,0.222643
Model,ising_conversion,Convert canonical QUBO to Ising coefficients,14,220489,0.220489
Model,ising_conversion,Convert canonical QUBO to Ising coefficients,15,217274,0.217274
Model,ising_conversion,Convert canonical QUBO to Ising coefficients,16,219408,0.219408
Model,ising_conversion,Convert canonical QUBO to Ising coefficients,17,215330,0.21533
Model,ising_conversion,Convert canonical QUBO to Ising coefficients,18,228414,0.228414
Model,ising_conversion,Convert canonical QUBO to Ising coefficients,19,217234,0.217234
Model,ising_conversion,Convert canonical QUBO to Ising coefficients,20,219998,0.219998
Model,ising_conversion,Convert canonical QUBO to Ising coefficients,21,218886,0.218886
Model,ising_conversion,Convert canonical QUBO to Ising coefficients,22,228955,0.228955
Model,ising_conversion,Convert canonical QUBO to Ising coefficients,23,219377,0.219377
Model,ising_conversion,Convert canonical QUBO to Ising coefficients,24,220138,0.220138
Model,ising_conversion,Convert canonical QUBO to Ising coefficients,25,216923,0.216923
Model,ising_conversion,Convert canonical QUBO to Ising coefficients,26,221461,0.221461
Model,ising_conversion,Convert canonical QUBO to Ising coefficients,27,226501,0.226501
Model,ising_conversion,Convert canonical QUBO to Ising coefficients,28,220630,0.22063
Model,ising_conversion,Convert canonical QUBO to Ising coefficients,29,217644,0.217644
Model,ising_conversion,Convert canonical QUBO to Ising coefficients,30,221731,0.221731
Circuit,qiskit_circuit_build_p1,Build explicit parameterized p=1 Qiskit circuit,0,837836,0.837836
Circuit,qiskit_circuit_build_p1,Build explicit parameterized p=1 Qiskit circuit,1,829932,0.829932
Circuit,qiskit_circuit_build_p1,Build explicit parameterized p=1 Qiskit circuit,2,882539,0.882539
Circuit,qiskit_circuit_build_p1,Build explicit parameterized p=1 Qiskit circuit,3,855539,0.855539
Circuit,qiskit_circuit_build_p1,Build explicit parameterized p=1 Qiskit circuit,4,859475,0.859475
Circuit,qiskit_circuit_build_p1,Build explicit parameterized p=1 Qiskit circuit,5,859496,0.859496
Circuit,qiskit_circuit_build_p1,Build explicit parameterized p=1 Qiskit circuit,6,828218,0.828218
Circuit,qiskit_circuit_build_p1,Build explicit parameterized p=1 Qiskit circuit,7,827727,0.827727
Circuit,qiskit_circuit_build_p1,Build explicit parameterized p=1 Qiskit circuit,8,852092,0.852092
Circuit,qiskit_circuit_build_p1,Build explicit parameterized p=1 Qiskit circuit,9,837385,0.837385
Circuit,qiskit_circuit_build_p1,Build explicit parameterized p=1 Qiskit circuit,10,830773,0.830773
Circuit,qiskit_circuit_build_p1,Build explicit parameterized p=1 Qiskit circuit,11,831915,0.831915
Circuit,qiskit_circuit_build_p1,Build explicit parameterized p=1 Qiskit circuit,12,821254,0.821254
Circuit,qiskit_circuit_build_p1,Build explicit parameterized p=1 Qiskit circuit,13,829300,0.8293
Circuit,qiskit_circuit_build_p1,Build explicit parameterized p=1 Qiskit circuit,14,827126,0.827126
Circuit,qiskit_circuit_build_p1,Build explicit parameterized p=1 Qiskit circuit,15,836613,0.836613
Circuit,qiskit_circuit_build_p1,Build explicit parameterized p=1 Qiskit circuit,16,831103,0.831103
Circuit,qiskit_circuit_build_p1,Build explicit parameterized p=1 Qiskit circuit,17,827817,0.827817
Circuit,qiskit_circuit_build_p1,Build explicit parameterized p=1 Qiskit circuit,18,821515,0.821515
Circuit,qiskit_circuit_build_p1,Build explicit parameterized p=1 Qiskit circuit,19,830812,0.830812
Circuit,qiskit_circuit_build_p1,Build explicit parameterized p=1 Qiskit circuit,20,1448670,1.44867
Circuit,qiskit_circuit_build_p1,Build explicit parameterized p=1 Qiskit circuit,21,777904,0.777904
Circuit,qiskit_circuit_build_p1,Build explicit parameterized p=1 Qiskit circuit,22,772845,0.772845
Circuit,qiskit_circuit_build_p1,Build explicit parameterized p=1 Qiskit circuit,23,770260,0.77026
Circuit,qiskit_circuit_build_p1,Build explicit parameterized p=1 Qiskit circuit,24,768516,0.768516
Circuit,qiskit_circuit_build_p1,Build explicit parameterized p=1 Qiskit circuit,25,778105,0.778105
Circuit,qiskit_circuit_build_p1,Build explicit parameterized p=1 Qiskit circuit,26,773456,0.773456
Circuit,qiskit_circuit_build_p1,Build explicit parameterized p=1 Qiskit circuit,27,774588,0.774588
Circuit,qiskit_circuit_build_p1,Build explicit parameterized p=1 Qiskit circuit,28,774148,0.774148
Circuit,qiskit_circuit_build_p1,Build explicit parameterized p=1 Qiskit circuit,29,778675,0.778675
Circuit,qiskit_circuit_build_p1,Build explicit parameterized p=1 Qiskit circuit,30,766122,0.766122
Circuit,qiskit_circuit_build_p2,Build explicit parameterized p=2 Qiskit circuit,0,1297059,1.297059
Circuit,qiskit_circuit_build_p2,Build explicit parameterized p=2 Qiskit circuit,1,1275027,1.275027
Circuit,qiskit_circuit_build_p2,Build explicit parameterized p=2 Qiskit circuit,2,1320932,1.320932
Circuit,qiskit_circuit_build_p2,Build explicit parameterized p=2 Qiskit circuit,3,1429764,1.429764
Circuit,qiskit_circuit_build_p2,Build explicit parameterized p=2 Qiskit circuit,4,1389961,1.389961
Circuit,qiskit_circuit_build_p2,Build explicit parameterized p=2 Qiskit circuit,5,1381084,1.381084
Circuit,qiskit_circuit_build_p2,Build explicit parameterized p=2 Qiskit circuit,6,1377398,1.377398
Circuit,qiskit_circuit_build_p2,Build explicit parameterized p=2 Qiskit circuit,7,1385523,1.385523
Circuit,qiskit_circuit_build_p2,Build explicit parameterized p=2 Qiskit circuit,8,1395471,1.395471
Circuit,qiskit_circuit_build_p2,Build explicit parameterized p=2 Qiskit circuit,9,1378289,1.378289
Circuit,qiskit_circuit_build_p2,Build explicit parameterized p=2 Qiskit circuit,10,1389068,1.389068
Circuit,qiskit_circuit_build_p2,Build explicit parameterized p=2 Qiskit circuit,11,2249016,2.249016
Circuit,qiskit_circuit_build_p2,Build explicit parameterized p=2 Qiskit circuit,12,1306526,1.306526
Circuit,qiskit_circuit_build_p2,Build explicit parameterized p=2 Qiskit circuit,13,1299082,1.299082
Circuit,qiskit_circuit_build_p2,Build explicit parameterized p=2 Qiskit circuit,14,1293391,1.293391
Circuit,qiskit_circuit_build_p2,Build explicit parameterized p=2 Qiskit circuit,15,1286889,1.286889
Circuit,qiskit_circuit_build_p2,Build explicit parameterized p=2 Qiskit circuit,16,1306536,1.306536
Circuit,qiskit_circuit_build_p2,Build explicit parameterized p=2 Qiskit circuit,17,1291808,1.291808
Circuit,qiskit_circuit_build_p2,Build explicit parameterized p=2 Qiskit circuit,18,1291809,1.291809
Circuit,qiskit_circuit_build_p2,Build explicit parameterized p=2 Qiskit circuit,19,1307277,1.307277
Circuit,qiskit_circuit_build_p2,Build explicit parameterized p=2 Qiskit circuit,20,1295065,1.295065
Circuit,qiskit_circuit_build_p2,Build explicit parameterized p=2 Qiskit circuit,21,1290245,1.290245
Circuit,qiskit_circuit_build_p2,Build explicit parameterized p=2 Qiskit circuit,22,1295245,1.295245
Circuit,qiskit_circuit_build_p2,Build explicit parameterized p=2 Qiskit circuit,23,1306396,1.306396
