A,p,selected_start_id,shots,replicate_id,p_feas_hat,p_opt_hat,invalid_mass_hat,feasible_observation_count,exact_optimum_observation_count,most_frequent_state_index,most_frequent_canonical_bitstring,most_frequent_qiskit_display_bitstring,most_frequent_observation_count
2,2,2,256,56,0.046875,0.0078125,0.953125,12,2,4096,00000000000010,01000000000000,4
2,2,2,256,57,0.046875,0.00390625,0.953125,12,1,1,10000000000000,00000000000001,4
2,2,2,256,58,0.03125,0.0,0.96875,8,0,8192,00000000000001,10000000000000,5
2,2,2,256,59,0.046875,0.0,0.953125,12,0,8192,00000000000001,10000000000000,5
2,2,2,256,60,0.0546875,0.0078125,0.9453125,14,2,512,00000000010000,00001000000000,4
2,2,2,256,61,0.0625,0.0078125,0.9375,16,2,4608,00000000010010,01001000000000,4
2,2,2,256,62,0.0390625,0.0078125,0.9609375,10,2,0,00000000000000,00000000000000,6
2,2,2,256,63,0.04296875,0.0,0.95703125,11,0,1,10000000000000,00000000000001,4
2,2,2,256,64,0.05078125,0.00390625,0.94921875,13,1,4224,00000001000010,01000010000000,5
2,2,2,256,65,0.0625,0.0,0.9375,16,0,2049,10000000000100,00100000000001,3
2,2,2,256,66,0.0390625,0.0,0.9609375,10,0,8192,00000000000001,10000000000000,5
2,2,2,256,67,0.04296875,0.00390625,0.95703125,11,1,9,10010000000000,00000000001001,4
2,2,2,256,68,0.0546875,0.00390625,0.9453125,14,1,1,10000000000000,00000000000001,4
2,2,2,256,69,0.03515625,0.0078125,0.96484375,9,2,8192,00000000000001,10000000000000,4
2,2,2,256,70,0.06640625,0.0,0.93359375,17,0,8192,00000000000001,10000000000000,3
2,2,2,256,71,0.046875,0.0,0.953125,12,0,1,10000000000000,00000000000001,4
2,2,2,256,72,0.05078125,0.00390625,0.94921875,13,1,0,00000000000000,00000000000000,4
2,2,2,256,73,0.04296875,0.00390625,0.95703125,11,1,8201,10010000000001,10000000001001,4
2,2,2,256,74,0.046875,0.00390625,0.953125,12,1,8706,01000000010001,10001000000010,5
2,2,2,256,75,0.04296875,0.00390625,0.95703125,11,1,8194,01000000000001,10000000000010,5
2,2,2,256,76,0.0390625,0.00390625,0.9609375,10,1,8193,10000000000001,10000000000001,6
2,2,2,256,77,0.05078125,0.0,0.94921875,13,0,1,10000000000000,00000000000001,5
2,2,2,256,78,0.06640625,0.0078125,0.93359375,17,2,0,00000000000000,00000000000000,4
2,2,2,256,79,0.01953125,0.0,0.98046875,5,0,8192,00000000000001,10000000000000,5
2,2,2,256,80,0.0546875,0.00390625,0.9453125,14,1,0,00000000000000,00000000000000,5
2,2,2,256,81,0.0703125,0.0,0.9296875,18,0,8194,01000000000001,10000000000010,5
2,2,2,256,82,0.05078125,0.00390625,0.94921875,13,1,8704,00000000010001,10001000000000,4
2,2,2,256,83,0.0546875,0.0078125,0.9453125,14,2,0,00000000000000,00000000000000,4
