run_id,optimization_contract_sha256,A,p,start_id,initial_parameters,final_parameters,initial_expected_qubo_energy,final_expected_qubo_energy,objective_evaluation_count,optimizer_status,optimizer_message,converged,elapsed_seconds,p_feas,p_opt,invalid_mass,conditional_expected_route_cost,trace_point_count,trace_json_pointer
A2_p1_s0,12d44320e83ce06ae9172c6d68bd8b0f617bc4fa2b9273418fc0e8bec2ecba3d,2,1,0,"[5.020658118120666,0.024499149421568608]","[4.502036681327967,0.8810460520744504]",45.71415516757956,33.27916809330874,240,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,False,1.603144126944244,0.005512967267707039,9.09224952538176e-05,0.994487032732293,12.052035369119315,240,core_experiment_results.json#/optimization_runs/0/evaluation_trace
A2_p1_s1,12d44320e83ce06ae9172c6d68bd8b0f617bc4fa2b9273418fc0e8bec2ecba3d,2,1,1,"[3.8331060485550164,1.1076603637525093]","[4.50204242644502,0.8809695141534469]",46.00417067252228,33.279167449939315,240,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,False,1.1692153071053326,0.00551219041780546,9.099015966172101e-05,0.9944878095821945,12.052056638165455,240,core_experiment_results.json#/optimization_runs/1/evaluation_trace
A2_p1_s2,12d44320e83ce06ae9172c6d68bd8b0f617bc4fa2b9273418fc0e8bec2ecba3d,2,1,2,"[2.374807817715842,0.5875685840531282]","[2.870644780476969,0.48107935824100134]",46.00009531100852,40.03670659897011,110,0,Return from COBYLA because the trust region radius reaches its lower bound.,True,0.5393834956921637,0.005734417294399297,0.00037438455059209764,0.9942655827056007,12.213042760120999,110,core_experiment_results.json#/optimization_runs/2/evaluation_trace
A2_p2_s0,12d44320e83ce06ae9172c6d68bd8b0f617bc4fa2b9273418fc0e8bec2ecba3d,2,2,0,"[0.5750011763266856,1.6399157443486685,5.244814770885383,2.4511725979762433]","[-5.46184081360681e-22,2.2992026956237774,4.742146515625357,2.304200346590157]",45.82020956291373,30.99026366158279,240,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,False,2.091419410891831,0.006883580149395914,5.0687531033705256e-06,0.9931164198506041,11.977046946320373,240,core_experiment_results.json#/optimization_runs/3/evaluation_trace
A2_p2_s1,12d44320e83ce06ae9172c6d68bd8b0f617bc4fa2b9273418fc0e8bec2ecba3d,2,2,1,"[2.689421271649772,2.05745112043948,1.7819877781540776,2.7665952077136517]","[2.2595412592269293,2.3817566726644173,2.769886184346197,2.503090159254198]",47.87569492495041,45.150339520716045,240,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,False,2.107555892318487,0.000889840878788912,0.0001780185346572839,0.999110159121211,11.597289184184211,240,core_experiment_results.json#/optimization_runs/4/evaluation_trace
A2_p2_s2,12d44320e83ce06ae9172c6d68bd8b0f617bc4fa2b9273418fc0e8bec2ecba3d,2,2,2,"[3.5981032773201993,2.5742303980778294,3.4424723742060235,0.3125248733997375]","[3.1431042110255367,2.273829775063368,3.021154375793466,0.5807088400617608]",45.25082607221293,20.09958313485398,240,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,False,2.197498677764088,0.05144857409010178,0.00311885299407071,0.9485514259098983,12.165724718611045,240,core_experiment_results.json#/optimization_runs/5/evaluation_trace
A5_p1_s0,12d44320e83ce06ae9172c6d68bd8b0f617bc4fa2b9273418fc0e8bec2ecba3d,5,1,0,"[5.020658118120666,0.024499149421568608]","[5.060046438506102,0.6746241937455879]",76.0428778037569,43.135490188893584,240,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,False,1.135789676103741,0.0027954114441517512,1.4067168276852206e-07,0.9972045885558483,12.05876771720306,240,core_experiment_results.json#/optimization_runs/6/evaluation_trace
A5_p1_s1,12d44320e83ce06ae9172c6d68bd8b0f617bc4fa2b9273418fc0e8bec2ecba3d,5,1,1,"[3.8331060485550164,1.1076603637525093]","[4.358383650110104,0.9414982464222771]",88.96710961941525,41.73837227771357,240,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,False,1.1036365581676364,0.01675394354454574,0.00015319831229053448,0.9832460564554543,11.58094845160158,240,core_experiment_results.json#/optimization_runs/7/evaluation_trace
A5_p1_s2,12d44320e83ce06ae9172c6d68bd8b0f617bc4fa2b9273418fc0e8bec2ecba3d,5,1,2,"[2.374807817715842,0.5875685840531282]","[2.9174020975608013,1.1895256601014146]",81.65538047364122,75.88242339554633,240,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,False,1.201250916812569,0.0012752487809694405,5.1859361957954385e-05,0.9987247512190306,12.033759869537873,240,core_experiment_results.json#/optimization_runs/8/evaluation_trace
A5_p2_s0,12d44320e83ce06ae9172c6d68bd8b0f617bc4fa2b9273418fc0e8bec2ecba3d,5,2,0,"[0.5750011763266856,1.6399157443486685,5.244814770885383,2.4511725979762433]","[0.5786242208247437,2.6465054596254394,5.762802205305205,2.841758947230142]",79.10086818482179,37.91271677233271,240,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,False,1.9843558776192367,0.04573632911157458,2.8823885730304734e-06,0.9542636708884255,13.460874396033882,240,core_experiment_results.json#/optimization_runs/9/evaluation_trace
A5_p2_s1,12d44320e83ce06ae9172c6d68bd8b0f617bc4fa2b9273418fc0e8bec2ecba3d,5,2,1,"[2.689421271649772,2.05745112043948,1.7819877781540776,2.7665952077136517]","[2.6657553806422096,1.6029191094932203,1.725359289015218,2.489104263635208]",73.85337174965969,46.26566865518707,240,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,False,2.1579554877243936,0.011342794619872358,5.9425908575465606e-06,0.9886572053801277,12.95092688501537,240,core_experiment_results.json#/optimization_runs/10/evaluation_trace
A5_p2_s2,12d44320e83ce06ae9172c6d68bd8b0f617bc4fa2b9273418fc0e8bec2ecba3d,5,2,2,"[3.5981032773201993,2.5742303980778294,3.4424723742060235,0.3125248733997375]","[4.1797141033015865,3.140253172073872,3.415561458530054,0.5966621273301923]",77.4118905681982,49.17082021126169,240,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,False,2.1265428448095918,0.015176436976994157,0.0016949819542291065,0.9848235630230059,11.342210489209084,240,core_experiment_results.json#/optimization_runs/11/evaluation_trace
A6_p1_s0,12d44320e83ce06ae9172c6d68bd8b0f617bc4fa2b9273418fc0e8bec2ecba3d,6,1,0,"[5.020658118120666,0.024499149421568608]","[4.798979411577309,0.44256473449553363]",85.98465066338227,68.99339383857587,240,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,False,1.180390645749867,0.0045570692643844835,0.00020800842487724968,0.9954429307356155,12.256388855580068,240,core_experiment_results.json#/optimization_runs/12/evaluation_trace
A6_p1_s1,12d44320e83ce06ae9172c6d68bd8b0f617bc4fa2b9273418fc0e8bec2ecba3d,6,1,1,"[3.8331060485550164,1.1076603637525093]","[3.192333785090442,1.0141738340042679]",85.11846004800427,66.97273651050678,240,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,False,1.1908900910057127,0.0029936841849295685,1.390510818122019e-06,0.9970063158150704,12.584005559805256,240,core_experiment_results.json#/optimization_runs/13/evaluation_trace
A6_p1_s2,12d44320e83ce06ae9172c6d68bd8b0f617bc4fa2b9273418fc0e8bec2ecba3d,6,1,2,"[2.374807817715842,0.5875685840531282]","[3.0407225576908985,0.38492889942460257]",86.00374185304642,78.53476171035165,240,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,False,1.178697241935879,0.001729220477908962,0.0001234271606338909,0.9982707795220911,12.343318032476525,240,core_experiment_results.json#/optimization_runs/14/evaluation_trace
A6_p2_s0,12d44320e83ce06ae9172c6d68bd8b0f617bc4fa2b9273418fc0e8bec2ecba3d,6,2,0,"[0.5750011763266856,1.6399157443486685,5.244814770885383,2.4511725979762433]","[0.5978977073032555,1.6060495400157788,5.685516721463801,2.3732469689200926]",77.62412222663247,37.76575338132335,240,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,False,2.15487850503996,0.012000378605692473,0.0001334450542910176,0.9879996213943075,11.953832680779046,240,core_experiment_results.json#/optimization_runs/15/evaluation_trace
A6_p2_s1,12d44320e83ce06ae9172c6d68bd8b0f617bc4fa2b9273418fc0e8bec2ecba3d,6,2,1,"[2.689421271649772,2.05745112043948,1.7819877781540776,2.7665952077136517]","[2.6765293028048,2.636890384899892,2.2867349398369377,3.0950947180078483]",82.19113140187258,64.90798861683339,240,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,False,2.1149697080254555,0.003096502316236988,4.36426680291831e-06,0.996903497683763,12.115219378283937,240,core_experiment_results.json#/optimization_runs/16/evaluation_trace
A6_p2_s2,12d44320e83ce06ae9172c6d68bd8b0f617bc4fa2b9273418fc0e8bec2ecba3d,6,2,2,"[3.5981032773201993,2.5742303980778294,3.4424723742060235,0.3125248733997375]","[4.11721206771126,2.6597607727813264,4.093057375506356,0.1669154904083137]",100.1009185860476,59.679981359863696,240,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,False,2.154186660889536,0.005432664318521914,0.0003400191174583161,0.994567335681478,12.013861396473532,240,core_experiment_results.json#/optimization_runs/17/evaluation_trace
A12_p1_s0,12d44320e83ce06ae9172c6d68bd8b0f617bc4fa2b9273418fc0e8bec2ecba3d,12,1,0,"[5.020658118120666,0.024499149421568608]","[4.995031416968674,0.7143723391783718]",144.28450348187937,89.47989734155078,240,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,False,1.1328334766440094,0.005052359654345983,1.800702790006573e-07,0.994947640345654,12.067210881914898,240,core_experiment_results.json#/optimization_runs/18/evaluation_trace
A12_p1_s1,12d44320e83ce06ae9172c6d68bd8b0f617bc4fa2b9273418fc0e8bec2ecba3d,12,1,1,"[3.8331060485550164,1.1076603637525093]","[3.8503188020476533,1.0986037718363975]",144.82828648831955,143.78186865347047,240,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,False,1.1135990358889103,0.0026329639254431556,0.00016771685568302155,0.9973670360745568,12.021210629379361,240,core_experiment_results.json#/optimization_runs/19/evaluation_trace
A12_p1_s2,12d44320e83ce06ae9172c6d68bd8b0f617bc4fa2b9273418fc0e8bec2ecba3d,12,1,2,"[2.374807817715842,0.5875685840531282]","[2.609593371812797,0.643651892165841]",81.80395289794981,69.01050870921102,240,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,False,1.1899381130933762,0.019542018156399298,0.0001850437528393668,0.9804579818436007,11.140846042456737,240,core_experiment_results.json#/optimization_runs/20/evaluation_trace
A12_p2_s0,12d44320e83ce06ae9172c6d68bd8b0f617bc4fa2b9273418fc0e8bec2ecba3d,12,2,0,"[0.5750011763266856,1.6399157443486685,5.244814770885383,2.4511725979762433]","[0.5653924925496467,1.5676984700564194,5.71631127533283,2.4051343261710993]",143.51832182790278,66.62296201939051,240,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,False,1.9852855042554438,0.010075363063507,4.457922609343972e-05,0.989924636936493,11.984273034620951,240,core_experiment_results.json#/optimization_runs/21/evaluation_trace
A12_p2_s1,12d44320e83ce06ae9172c6d68bd8b0f617bc4fa2b9273418fc0e8bec2ecba3d,12,2,1,"[2.689421271649772,2.05745112043948,1.7819877781540776,2.7665952077136517]","[2.8804563647223365,2.21726119518276,1.6746895936870552,2.9312393997064383]",140.04185120850047,88.4641936586537,240,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,False,2.1441291072405875,0.0008321485362680548,4.685108581735869e-07,0.999167851463732,11.801879564102562,240,core_experiment_results.json#/optimization_runs/22/evaluation_trace
A12_p2_s2,12d44320e83ce06ae9172c6d68bd8b0f617bc4fa2b9273418fc0e8bec2ecba3d,12,2,2,"[3.5981032773201993,2.5742303980778294,3.4424723742060235,0.3125248733997375]","[4.210452808172641,2.0661266110487855,3.378250372706532,0.9702506017110154]",147.78115845283756,95.53639645762502,240,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,False,2.1106611881405115,0.005509412277964594,0.00011111479788113255,0.9944905877220354,11.99516893107136,240,core_experiment_results.json#/optimization_runs/23/evaluation_trace
