graph_sha256,penalty_contract_sha256,optimization_contract_sha256,A,penalty_label,p,selected_start_id,final_parameters,objective_evaluation_count,optimizer_status,converged,final_expected_qubo_energy,p_feas,p_opt,invalid_mass,conditional_expected_route_cost,all_zero_critical_state_probability,most_probable_state_index,most_probable_state_feasible,most_probable_feasible_route,most_probable_feasible_route_probability,qiskit_numpy_fidelity,qiskit_numpy_max_probability_discrepancy
451a6e4cffd01552c1cb6e4290b5ee8d50fc97514aab8ed47a6b33a111f5e54e,3e31dc31434dcd06c430e90e75884536cbef8cdfefec195afeb1acc1b77acd57,12d44320e83ce06ae9172c6d68bd8b0f617bc4fa2b9273418fc0e8bec2ecba3d,2,weak,1,1,"[4.50204242644502,0.8809695141534469]",240,3,False,33.279167449939315,0.00551219041780546,9.099015966172101e-05,0.9944878095821945,12.052056638165455,0.0003951895938777136,2624,False,0->2->3->4->5->6,0.0018925507263756805,1.0,2.7755575615628914e-17
451a6e4cffd01552c1cb6e4290b5ee8d50fc97514aab8ed47a6b33a111f5e54e,3e31dc31434dcd06c430e90e75884536cbef8cdfefec195afeb1acc1b77acd57,12d44320e83ce06ae9172c6d68bd8b0f617bc4fa2b9273418fc0e8bec2ecba3d,2,weak,2,2,"[3.1431042110255367,2.273829775063368,3.021154375793466,0.5807088400617608]",240,3,False,20.09958313485398,0.05144857409010178,0.00311885299407071,0.9485514259098983,12.165724718611045,0.008344363918053852,8192,False,0->1->2->5->6,0.0037215505623997133,1.0,4.683753385137379e-17
451a6e4cffd01552c1cb6e4290b5ee8d50fc97514aab8ed47a6b33a111f5e54e,3e31dc31434dcd06c430e90e75884536cbef8cdfefec195afeb1acc1b77acd57,12d44320e83ce06ae9172c6d68bd8b0f617bc4fa2b9273418fc0e8bec2ecba3d,5,critical,1,1,"[4.358383650110104,0.9414982464222771]",240,3,False,41.73837227771357,0.01675394354454574,0.00015319831229053448,0.9832460564554543,11.58094845160158,0.0001514129568750061,10945,False,0->1->2->3->4->5->6,0.008252536924283311,1.0,1.734723475976807e-16
451a6e4cffd01552c1cb6e4290b5ee8d50fc97514aab8ed47a6b33a111f5e54e,3e31dc31434dcd06c430e90e75884536cbef8cdfefec195afeb1acc1b77acd57,12d44320e83ce06ae9172c6d68bd8b0f617bc4fa2b9273418fc0e8bec2ecba3d,5,critical,2,0,"[0.5786242208247437,2.6465054596254394,5.762802205305205,2.841758947230142]",240,3,False,37.91271677233271,0.04573632911157458,2.8823885730304734e-06,0.9542636708884255,13.460874396033882,0.01485966776492391,4132,False,0->3->4->6,0.015859754634389083,1.0,5.585809592645319e-16
451a6e4cffd01552c1cb6e4290b5ee8d50fc97514aab8ed47a6b33a111f5e54e,3e31dc31434dcd06c430e90e75884536cbef8cdfefec195afeb1acc1b77acd57,12d44320e83ce06ae9172c6d68bd8b0f617bc4fa2b9273418fc0e8bec2ecba3d,6,just-supercritical,1,1,"[3.192333785090442,1.0141738340042679]",240,3,False,66.97273651050678,0.0029936841849295685,1.390510818122019e-06,0.9970063158150704,12.584005559805256,0.00022889182903746037,5714,False,0->2->3->4->6,0.000988629789205069,0.9999999999999998,2.2985086056692694e-17
451a6e4cffd01552c1cb6e4290b5ee8d50fc97514aab8ed47a6b33a111f5e54e,3e31dc31434dcd06c430e90e75884536cbef8cdfefec195afeb1acc1b77acd57,12d44320e83ce06ae9172c6d68bd8b0f617bc4fa2b9273418fc0e8bec2ecba3d,6,just-supercritical,2,0,"[0.5978977073032555,1.6060495400157788,5.685516721463801,2.3732469689200926]",240,3,False,37.76575338132335,0.012000378605692473,0.0001334450542910176,0.9879996213943075,11.953832680779046,3.0376124053109614e-08,8729,False,0->1->3->4->5->6,0.010438039420275684,1.0,6.453171330633722e-16
451a6e4cffd01552c1cb6e4290b5ee8d50fc97514aab8ed47a6b33a111f5e54e,3e31dc31434dcd06c430e90e75884536cbef8cdfefec195afeb1acc1b77acd57,12d44320e83ce06ae9172c6d68bd8b0f617bc4fa2b9273418fc0e8bec2ecba3d,12,strong,1,2,"[2.609593371812797,0.643651892165841]",240,3,False,69.01050870921102,0.019542018156399298,0.0001850437528393668,0.9804579818436007,11.140846042456737,0.0004727453628330484,4232,False,0->1->2->4->6,0.016721639659337026,0.9999999999999989,1.1934897514720433e-15
451a6e4cffd01552c1cb6e4290b5ee8d50fc97514aab8ed47a6b33a111f5e54e,3e31dc31434dcd06c430e90e75884536cbef8cdfefec195afeb1acc1b77acd57,12d44320e83ce06ae9172c6d68bd8b0f617bc4fa2b9273418fc0e8bec2ecba3d,12,strong,2,0,"[0.5653924925496467,1.5676984700564194,5.71631127533283,2.4051343261710993]",240,3,False,66.62296201939051,0.010075363063507,4.457922609343972e-05,0.989924636936493,11.984273034620951,4.071300064341143e-07,8729,False,0->1->3->4->5->6,0.009550391257381137,1.0,7.91033905045424e-16
