run_id,evaluation_index,training_objective,expected_energy,cvar_0.10,cvar_0.25,p_opt,p_feas,p_opt_given_feas
bfo-899a7f2b392e8392819dc013a10969eaf5211b86380e42d43031daad999a4192,4958,15.150126044347333,52.10717072876602,15.150126044347333,19.66059672555073,0.0021854161244194855,0.04438331317527858,0.049239589568017154
bfo-899a7f2b392e8392819dc013a10969eaf5211b86380e42d43031daad999a4192,4959,15.150125221408096,52.10143374575114,15.150125221408096,19.660576868650114,0.0021853936595520713,0.044383367293057564,0.04923902337382838
bfo-899a7f2b392e8392819dc013a10969eaf5211b86380e42d43031daad999a4192,4960,15.15012482987359,52.10323592167841,15.15012482987359,19.66062687418488,0.0021854316615628412,0.044383467788295945,0.04923976810435588
bfo-899a7f2b392e8392819dc013a10969eaf5211b86380e42d43031daad999a4192,4961,15.150145893892294,52.11797682605096,15.150145893892294,19.660768880814377,0.0021854548143970583,0.04438332532286777,0.04924044781455433
bfo-899a7f2b392e8392819dc013a10969eaf5211b86380e42d43031daad999a4192,4962,15.150178017862244,52.120838328810024,15.150178017862244,19.66100878274451,0.0021856418056246667,0.04438390170179048,0.04924402140915196
bfo-899a7f2b392e8392819dc013a10969eaf5211b86380e42d43031daad999a4192,4963,1000000.0000005671,52.09185123266559,15.15008525860509,19.660494964744125,0.002185504678045793,0.044383730905236916,0.04924112131789988
bfo-899a7f2b392e8392819dc013a10969eaf5211b86380e42d43031daad999a4192,4964,1000000.0000034628,52.09777491892142,15.149933884930954,19.660326334489785,0.0021855350527809343,0.044385169505998905,0.04924020967151082
bfo-899a7f2b392e8392819dc013a10969eaf5211b86380e42d43031daad999a4192,4965,1000000.0,52.1137587404345,15.150110440989764,19.660618256651063,0.0021853110851068167,0.04438331763569712,0.04923721798005451
bfo-899a7f2b392e8392819dc013a10969eaf5211b86380e42d43031daad999a4192,4966,15.150107963474989,52.08435523815956,15.150107963474989,19.660381709569606,0.0021852975437610606,0.04438303057546077,0.04923723133429524
bfo-899a7f2b392e8392819dc013a10969eaf5211b86380e42d43031daad999a4192,4967,15.150328291246586,52.124574129559875,15.150328291246586,19.661256207645152,0.0021855639207694127,0.04438242312901701,0.04924390708493115
bfo-899a7f2b392e8392819dc013a10969eaf5211b86380e42d43031daad999a4192,4968,1000000.0000000811,52.07339146702658,15.150108570366218,19.660148696376613,0.0021852326558792433,0.04438252006799566,0.04923633566844303
bfo-899a7f2b392e8392819dc013a10969eaf5211b86380e42d43031daad999a4192,4969,15.150625601826148,52.083890754929485,15.150625601826148,19.660883102963382,0.0021851241196698947,0.04437815338291954,0.04923873467233801
bfo-899a7f2b392e8392819dc013a10969eaf5211b86380e42d43031daad999a4192,4970,1000000.0000001009,52.07947633401656,15.150108847922018,19.66037771729407,0.0021853252375671015,0.044383116973367755,0.04923775945881434
bfo-899a7f2b392e8392819dc013a10969eaf5211b86380e42d43031daad999a4192,4971,15.150304490180652,52.0815977386647,15.150304490180652,19.66061442233335,0.0021849556787560164,0.04438068305700473,0.0492321327265187
bfo-899a7f2b392e8392819dc013a10969eaf5211b86380e42d43031daad999a4192,4972,1000000.0000002607,52.068343088331154,15.150095804718152,19.660119767436697,0.002185233430563746,0.04438267658073402,0.04923617949423829
bfo-899a7f2b392e8392819dc013a10969eaf5211b86380e42d43031daad999a4192,4973,15.150380071488012,52.08765431808344,15.150380071488012,19.661024542925357,0.0021853499997251885,0.04438136453546275,0.0492402615962606
bfo-899a7f2b392e8392819dc013a10969eaf5211b86380e42d43031daad999a4192,4974,1000000.0000005544,52.06700646515461,15.15008411004735,19.660200070988214,0.0021852805017913827,0.044383007758160266,0.04923687267205537
bfo-899a7f2b392e8392819dc013a10969eaf5211b86380e42d43031daad999a4192,4975,15.150324317978448,52.09554957085718,15.150324317978448,19.66055360832547,0.002185075875226112,0.04438072134576068,0.04923479855594627
bfo-899a7f2b392e8392819dc013a10969eaf5211b86380e42d43031daad999a4192,4976,15.150104298317487,52.084973311008724,15.150104298317487,19.660424704548088,0.002185322988898147,0.04438310239464876,0.04923772496718548
bfo-899a7f2b392e8392819dc013a10969eaf5211b86380e42d43031daad999a4192,4977,15.150187076675516,52.14569565671614,15.150187076675516,19.66139369892308,0.0021854524709505807,0.044383510306787236,0.04924018978770086
