run_id,evaluation_index,training_objective,expected_energy,cvar_0.10,cvar_0.25,p_opt,p_feas,p_opt_given_feas
bfo-653b8be3d2a6b9a5aecee8af3dcb402148a6c9c3f170605d368251467de1e698,563,19.08016058169634,19.08016058169634,11.978176927776655,12.227582711828928,0.00016247470206079106,0.17414453405426916,0.0009329876642017291
bfo-653b8be3d2a6b9a5aecee8af3dcb402148a6c9c3f170605d368251467de1e698,564,18.906260028904732,18.906260028904732,11.976476620604513,12.20869724909145,0.0001672470972468029,0.17402798467033337,0.0009610356493159665
bfo-653b8be3d2a6b9a5aecee8af3dcb402148a6c9c3f170605d368251467de1e698,565,19.216759831638093,19.216759831638093,11.977838861171058,12.230250525553872,0.00016720410676921698,0.1712070071937259,0.000976619529246373
bfo-653b8be3d2a6b9a5aecee8af3dcb402148a6c9c3f170605d368251467de1e698,566,18.90430867730043,18.90430867730043,11.97667858490654,12.211890202894583,0.00016174013253478895,0.17364855957222464,0.000931422252699524
bfo-653b8be3d2a6b9a5aecee8af3dcb402148a6c9c3f170605d368251467de1e698,567,19.476156957158917,19.476156957158917,11.969873591172874,12.22672306544499,0.00021236069293921654,0.17838648154579922,0.0011904528364426242
bfo-653b8be3d2a6b9a5aecee8af3dcb402148a6c9c3f170605d368251467de1e698,568,18.904746925005924,18.904746925005924,11.976854451019832,12.211129884221918,0.00016197234382958384,0.1733928104743773,0.00093413529307502
bfo-653b8be3d2a6b9a5aecee8af3dcb402148a6c9c3f170605d368251467de1e698,569,1000000.0,19.214427373717854,11.979476859910037,12.219405166224938,0.00014652615399311097,0.16580523369673816,0.000883724540692792
bfo-653b8be3d2a6b9a5aecee8af3dcb402148a6c9c3f170605d368251467de1e698,570,18.9088129946502,18.9088129946502,11.97643727132265,12.209078857553077,0.00016698335839671253,0.17390788546433822,0.0009601827884391956
bfo-653b8be3d2a6b9a5aecee8af3dcb402148a6c9c3f170605d368251467de1e698,571,19.06679077737906,19.06679077737906,11.977967695703779,12.221645432342115,0.00016113699492055567,0.1717117430539071,0.000938415696298467
bfo-653b8be3d2a6b9a5aecee8af3dcb402148a6c9c3f170605d368251467de1e698,572,18.909437740093054,18.909437740093054,11.9764462211257,12.209083673900043,0.0001671073113790541,0.17398347375321827,0.0009604780717051468
bfo-653b8be3d2a6b9a5aecee8af3dcb402148a6c9c3f170605d368251467de1e698,573,19.88122032466268,19.88122032466268,11.980369565972552,12.283811489889432,0.00015477296876263602,0.17029228235992291,0.0009088666063886213
bfo-653b8be3d2a6b9a5aecee8af3dcb402148a6c9c3f170605d368251467de1e698,574,18.900477456419182,18.900477456419182,11.976866737573468,12.210377212333107,0.0001619072180431185,0.17358168234592666,0.0009327436850188927
bfo-653b8be3d2a6b9a5aecee8af3dcb402148a6c9c3f170605d368251467de1e698,575,1000000.0,18.96898091366271,11.976413284947053,12.212864560364189,0.00016189775193928721,0.17553513122249148,0.0009223096870226004
bfo-653b8be3d2a6b9a5aecee8af3dcb402148a6c9c3f170605d368251467de1e698,576,18.902572978524653,18.902572978524653,11.976833159524043,12.211025609771914,0.00016228660956031383,0.17338850546811427,0.0009359709810184502
bfo-653b8be3d2a6b9a5aecee8af3dcb402148a6c9c3f170605d368251467de1e698,577,1000000.0,18.943347908640995,11.977924647521219,12.21899930054312,0.00014719742275003236,0.17601204134832818,0.0008362917765309498
bfo-653b8be3d2a6b9a5aecee8af3dcb402148a6c9c3f170605d368251467de1e698,578,18.899737879288402,18.899737879288402,11.97658482819547,12.21105057112187,0.0001636871317318533,0.17402481790155494,0.0009405964833386603
bfo-653b8be3d2a6b9a5aecee8af3dcb402148a6c9c3f170605d368251467de1e698,579,1000000.0,19.061052535507525,11.977185107254588,12.221923038063704,0.00015486855365232717,0.17863595176798694,0.0008669506452624444
bfo-653b8be3d2a6b9a5aecee8af3dcb402148a6c9c3f170605d368251467de1e698,580,18.89996627332302,18.89996627332302,11.976597346370795,12.211095667036563,0.00016369886843025597,0.17399297862740518,0.0009408360597171373
bfo-653b8be3d2a6b9a5aecee8af3dcb402148a6c9c3f170605d368251467de1e698,581,19.00752345785227,19.00752345785227,11.978405586114995,12.222049697259664,0.00016713893373901292,0.1716363655584759,0.0009737967428707251
bfo-653b8be3d2a6b9a5aecee8af3dcb402148a6c9c3f170605d368251467de1e698,582,18.89635837195934,18.89635837195934,11.97653182230707,12.210840390218294,0.0001643137527025005,0.17398262690892247,0.0009444262086496516
bfo-653b8be3d2a6b9a5aecee8af3dcb402148a6c9c3f170605d368251467de1e698,583,18.93693145503358,18.93693145503358,11.975837139489883,12.21331617192418,0.00017516165164166924,0.1758296054088539,0.0009962011302611328
bfo-653b8be3d2a6b9a5aecee8af3dcb402148a6c9c3f170605d368251467de1e698,584,18.901925160039163,18.901925160039163,11.976535120133493,12.211045092059427,0.0001642005093042247,0.17396293259006984,0.0009438821642030516
bfo-653b8be3d2a6b9a5aecee8af3dcb402148a6c9c3f170605d368251467de1e698,585,19.10049648192938,19.10049648192938,11.97651268582293,12.22722550917262,0.000174118045075944,0.17630231079933478,0.0009876106801238874
bfo-653b8be3d2a6b9a5aecee8af3dcb402148a6c9c3f170605d368251467de1e698,586,18.901275501023,18.901275501023,11.976534882180394,12.211007754894503,0.00016407884696101164,0.17394478146333056,0.0009432812274141218
bfo-653b8be3d2a6b9a5aecee8af3dcb402148a6c9c3f170605d368251467de1e698,587,1000000.0,18.89098441467997,11.976167148078915,12.20900235471826,0.00016058997808071377,0.17515158317724883,0.000916862840561372
bfo-653b8be3d2a6b9a5aecee8af3dcb402148a6c9c3f170605d368251467de1e698,588,18.896608127646367,18.896608127646367,11.976613273379598,12.210891262913306,0.00016329675122541112,0.17409574596385394,0.0009379709442143122
