run_id,evaluation_index,training_objective,expected_energy,cvar_0.10,cvar_0.25,p_opt,p_feas,p_opt_given_feas
bfo-e97ef7ec006c58a81c6811a0b731e75e3820d2f54cbcd72dfffea7ad17adb25a,143,1000000.0006470397,43.29663922209951,16.390687109576476,21.65839081573008,0.0028521532480294833,0.01815172777582963,0.1571284719147968
bfo-e97ef7ec006c58a81c6811a0b731e75e3820d2f54cbcd72dfffea7ad17adb25a,144,1000000.0,43.356025502196836,16.439079088167315,21.752007931201394,0.002820414467530835,0.017570369825360286,0.16052106447184594
bfo-e97ef7ec006c58a81c6811a0b731e75e3820d2f54cbcd72dfffea7ad17adb25a,145,1000000.000785535,43.32940043449187,16.413087783952502,21.69614781256494,0.0028343103625290203,0.017958094072904763,0.15782912991893933
bfo-e97ef7ec006c58a81c6811a0b731e75e3820d2f54cbcd72dfffea7ad17adb25a,146,43.50045465053951,43.50045465053951,16.426431995141854,21.743099419397286,0.0028931149800406346,0.017990829102395068,0.16081054205864712
bfo-e97ef7ec006c58a81c6811a0b731e75e3820d2f54cbcd72dfffea7ad17adb25a,147,1000000.0000621638,43.38630784423271,16.434825870762058,21.747318848234624,0.0028014947916413383,0.017665135994695814,0.1585889173161488
bfo-e97ef7ec006c58a81c6811a0b731e75e3820d2f54cbcd72dfffea7ad17adb25a,148,1000000.0,43.47419433295093,16.381098077317496,21.64816246765124,0.0028832078903634705,0.018528319083286095,0.1556108720603984
bfo-e97ef7ec006c58a81c6811a0b731e75e3820d2f54cbcd72dfffea7ad17adb25a,149,1000000.0015306677,43.505283767717515,16.393057384792037,21.668065847026245,0.003001818098475725,0.018605291206660952,0.16134217224189604
bfo-e97ef7ec006c58a81c6811a0b731e75e3820d2f54cbcd72dfffea7ad17adb25a,150,1000000.0,43.85697172413706,16.56420181110013,21.964715384034466,0.003028306504076456,0.019209738462093402,0.1576443380555241
bfo-e97ef7ec006c58a81c6811a0b731e75e3820d2f54cbcd72dfffea7ad17adb25a,151,1000000.0009321042,43.37635303000501,16.350480171893366,21.584599001814105,0.0028432064062664506,0.01836332892340392,0.15483066377157825
bfo-e97ef7ec006c58a81c6811a0b731e75e3820d2f54cbcd72dfffea7ad17adb25a,152,43.24239082587658,43.24239082587658,16.366470962408638,21.617126471740608,0.002754150842626751,0.01794139986427286,0.153508135567011
bfo-e97ef7ec006c58a81c6811a0b731e75e3820d2f54cbcd72dfffea7ad17adb25a,153,1000000.0,43.301468481093224,16.40656113403881,21.69538966073898,0.0026207855180361644,0.01725202257052905,0.1519117835211478
bfo-e97ef7ec006c58a81c6811a0b731e75e3820d2f54cbcd72dfffea7ad17adb25a,154,1000000.0005978395,43.28452816264444,16.347051940706002,21.58197805014496,0.0027738268421854894,0.018177583695039096,0.15259601543974755
bfo-e97ef7ec006c58a81c6811a0b731e75e3820d2f54cbcd72dfffea7ad17adb25a,155,1000000.0,43.1191490233424,16.33684110208769,21.57440641572361,0.0028231333235840496,0.018163489976319853,0.15542901321632746
