run_id,evaluation_index,training_objective,expected_energy,cvar_0.10,cvar_0.25,p_opt,p_feas,p_opt_given_feas
bfo-14b52023ba76258e7056cfed6371cb8c9959792ab898ec99f0f9cefeed2d0966,1984,44.46588446105157,44.46588446105157,22.01122797016904,26.785997143930114,0.0005167490358186272,0.010182116633999655,0.0507506498298323
bfo-14b52023ba76258e7056cfed6371cb8c9959792ab898ec99f0f9cefeed2d0966,1985,44.465823966319036,44.465823966319036,22.0083716425066,26.782442669741563,0.0005169842684324353,0.010187274656432748,0.050748044581873125
bfo-14b52023ba76258e7056cfed6371cb8c9959792ab898ec99f0f9cefeed2d0966,1986,44.465880820164756,44.465880820164756,22.009282050699607,26.783634684714855,0.0005169263974153392,0.01018580169449876,0.050749701684701505
bfo-14b52023ba76258e7056cfed6371cb8c9959792ab898ec99f0f9cefeed2d0966,1987,44.46576039182051,44.46576039182051,22.010604843931034,26.785064747047546,0.0005167750859875218,0.010182724613050913,0.05075017793618671
bfo-14b52023ba76258e7056cfed6371cb8c9959792ab898ec99f0f9cefeed2d0966,1988,44.46568582160068,44.46568582160068,22.011403220795067,26.785988752538337,0.0005166985099756658,0.010181026107644993,0.05075112316897742
bfo-14b52023ba76258e7056cfed6371cb8c9959792ab898ec99f0f9cefeed2d0966,1989,44.465918380294895,44.465918380294895,22.008657024837046,26.78294975430306,0.0005170118329788058,0.010187199460251874,0.05075112497758269
bfo-14b52023ba76258e7056cfed6371cb8c9959792ab898ec99f0f9cefeed2d0966,1990,44.465793858246066,44.465793858246066,22.008763192007923,26.782865012420057,0.0005169491631340799,0.010186314868214544,0.050749379910410196
bfo-14b52023ba76258e7056cfed6371cb8c9959792ab898ec99f0f9cefeed2d0966,1991,44.46557926778358,44.46557926778358,22.009950251740076,26.783997102471467,0.0005167687025694914,0.010183082259852311,0.05074776864043386
bfo-14b52023ba76258e7056cfed6371cb8c9959792ab898ec99f0f9cefeed2d0966,1992,44.46559960243811,44.46559960243811,22.009195140334555,26.78310121373001,0.0005168497084679839,0.010184587744972884,0.050748220881409865
bfo-14b52023ba76258e7056cfed6371cb8c9959792ab898ec99f0f9cefeed2d0966,1993,44.465482764073045,44.465482764073045,22.011354431858898,26.785623042388227,0.000516620415231035,0.010180173240099939,0.050747703702728277
bfo-14b52023ba76258e7056cfed6371cb8c9959792ab898ec99f0f9cefeed2d0966,1994,44.465486345309436,44.465486345309436,22.01077182098232,26.78524203137144,0.0005167802709426977,0.010182237703413366,0.05075311400061489
bfo-14b52023ba76258e7056cfed6371cb8c9959792ab898ec99f0f9cefeed2d0966,1995,44.46554855217943,44.46554855217943,22.010162575755572,26.78436868615355,0.0005167745466885193,0.010183084046466083,0.05074833364140403
bfo-14b52023ba76258e7056cfed6371cb8c9959792ab898ec99f0f9cefeed2d0966,1996,44.465311948140084,44.465311948140084,22.01689365552671,26.79194153209755,0.0005160348986001978,0.010168337579716474,0.05074919027369531
bfo-14b52023ba76258e7056cfed6371cb8c9959792ab898ec99f0f9cefeed2d0966,1997,44.465199700026645,44.465199700026645,22.01340675670064,26.788201622291226,0.0005164648755203664,0.010176566091414794,0.05075040744402663
bfo-14b52023ba76258e7056cfed6371cb8c9959792ab898ec99f0f9cefeed2d0966,1998,44.46516960411365,44.46516960411365,22.016017610578295,26.791037687921506,0.0005161307324778144,0.010170527991464765,0.050747683199039204
bfo-14b52023ba76258e7056cfed6371cb8c9959792ab898ec99f0f9cefeed2d0966,1999,44.465337888976705,44.465337888976705,22.018320083839793,26.79360920699802,0.0005158765848017351,0.010165421960141337,0.050748172267170946
bfo-14b52023ba76258e7056cfed6371cb8c9959792ab898ec99f0f9cefeed2d0966,2000,44.46516936012627,44.46516936012627,22.017876371677758,26.793346113117263,0.00051597956898424,0.010167153706017337,0.05074965756432523
bfo-14b52023ba76258e7056cfed6371cb8c9959792ab898ec99f0f9cefeed2d0966,2001,44.465725189410136,44.465725189410136,22.025177820077307,26.80169796602524,0.0005151916560145229,0.010151556530397567,0.050750015967683956
bfo-14b52023ba76258e7056cfed6371cb8c9959792ab898ec99f0f9cefeed2d0966,2002,44.465216822931254,44.465216822931254,22.01803218319668,26.793387832600988,0.0005159238453320164,0.010166408008522707,0.05074789885468957
bfo-14b52023ba76258e7056cfed6371cb8c9959792ab898ec99f0f9cefeed2d0966,2003,44.465396490497305,44.465396490497305,22.01201445786025,26.786799974909155,0.0005166574881316863,0.0101801177299989,0.05075162211623481
bfo-14b52023ba76258e7056cfed6371cb8c9959792ab898ec99f0f9cefeed2d0966,2004,44.46519491272433,44.46519491272433,22.018396362795087,26.79396301904063,0.0005159416216092546,0.010166113968941605,0.050751115242805935
bfo-14b52023ba76258e7056cfed6371cb8c9959792ab898ec99f0f9cefeed2d0966,2005,44.4652905576552,44.4652905576552,22.018697005088114,26.794079284543184,0.0005158156949287341,0.010164805459776556,0.050745259903879444
bfo-14b52023ba76258e7056cfed6371cb8c9959792ab898ec99f0f9cefeed2d0966,2006,44.465138551796386,44.465138551796386,22.01589094064261,26.79100917244159,0.0005161751770114949,0.010171156828198028,0.05074891536235834
bfo-14b52023ba76258e7056cfed6371cb8c9959792ab898ec99f0f9cefeed2d0966,2007,44.46538402770737,44.46538402770737,22.018364219100725,26.793558027140914,0.0005158323783982211,0.010165012382133532,0.05074586818063011
bfo-14b52023ba76258e7056cfed6371cb8c9959792ab898ec99f0f9cefeed2d0966,2008,44.465196718019,44.465196718019,22.016274149407746,26.791384405479384,0.0005161174741122093,0.01017012723873055,0.050748379248068465
bfo-14b52023ba76258e7056cfed6371cb8c9959792ab898ec99f0f9cefeed2d0966,2009,44.46514072120358,44.46514072120358,22.01533762182704,26.790581197824476,0.0005162923127289389,0.010172968379889395,0.05075139265640303
bfo-14b52023ba76258e7056cfed6371cb8c9959792ab898ec99f0f9cefeed2d0966,2010,44.46520390418729,44.46520390418729,22.01592220248737,26.790934313309343,0.0005161377130185018,0.010170715893879178,0.05074743198058633
bfo-14b52023ba76258e7056cfed6371cb8c9959792ab898ec99f0f9cefeed2d0966,2011,44.46506297534306,44.46506297534306,22.014016430051406,26.78896521613561,0.0005164158272486494,0.010175487582208976,0.0507509662879999
