run_id,algorithm,checkpoint_index,checkpoint,basis_index,basis_label,energy,feasible,exact_optimal,decoded_route,magnitude,probability,phase,real,imag
penalty_x_p2_seed2601,penalty_x,3,Cost-2,1,10000000000000,14.0,False,False,,0.007812499999999998,6.103515624999997e-05,-1.8639720603413037,-0.0022577648848233142,-0.007479147944442518
penalty_x_p2_seed2601,penalty_x,3,Cost-2,8192,00000000000001,14.0,False,False,,0.007812499999999998,6.103515624999997e-05,-1.8639720603413037,-0.0022577648848233142,-0.007479147944442518
penalty_x_p2_seed2601,penalty_x,3,Cost-2,3,11000000000000,30.0,False,False,,0.007812499999999998,6.103515624999997e-05,-1.9105197558611735,-0.0026033307879028177,-0.007365991111775609
penalty_x_p2_seed2601,penalty_x,4,Mixer-2,10377,10010001000101,10.0,True,True,0->1->2->4->5->6,0.007812499999999998,6.103515624999997e-05,-1.8523351364613363,-0.0021705797045535437,-0.007504914389663631
penalty_x_p2_seed2601,penalty_x,4,Mixer-2,4233,10010001000010,11.0,True,False,0->1->2->4->6,0.007812499999999999,6.1035156249999986e-05,-1.8552443674313281,-0.0021924040176449664,-0.007498567921504358
penalty_x_p2_seed2601,penalty_x,4,Mixer-2,9289,10010010001001,11.0,True,False,0->1->2->3->5->6,0.007812499999999999,6.1035156249999986e-05,-1.8552443674313281,-0.0021924040176449664,-0.007498567921504358
penalty_x_p2_seed2601,penalty_x,4,Mixer-2,10370,01000001000101,11.0,True,False,0->2->4->5->6,0.007812499999999999,6.1035156249999986e-05,-1.8552443674313281,-0.0021924040176449664,-0.007498567921504358
penalty_x_p2_seed2601,penalty_x,4,Mixer-2,0,00000000000000,12.0,False,False,,0.007812499999999998,6.103515624999997e-05,-1.85815359840132,-0.0022142097750643807,-0.007492157988324147
penalty_x_p2_seed2601,penalty_x,4,Mixer-2,1,10000000000000,14.0,False,False,,0.007812499999999998,6.103515624999997e-05,-1.8639720603413037,-0.0022577648848233142,-0.007479147944442518
penalty_x_p2_seed2601,penalty_x,4,Mixer-2,8192,00000000000001,14.0,False,False,,0.007812499999999998,6.103515624999997e-05,-1.8639720603413037,-0.0022577648848233142,-0.007479147944442518
penalty_x_p2_seed2601,penalty_x,4,Mixer-2,3,11000000000000,30.0,False,False,,0.007812499999999998,6.103515624999997e-05,-1.9105197558611735,-0.0026033307879028177,-0.007365991111775609
grover_global_p2_seed2601,grover_global,0,Initial,10377,10010001000101,10.0,True,True,0->1->2->4->5->6,0.0078125,6.103515625e-05,0.0,0.0078125,0.0
grover_global_p2_seed2601,grover_global,0,Initial,4233,10010001000010,11.0,True,False,0->1->2->4->6,0.0078125,6.103515625e-05,0.0,0.0078125,0.0
grover_global_p2_seed2601,grover_global,0,Initial,9289,10010010001001,11.0,True,False,0->1->2->3->5->6,0.0078125,6.103515625e-05,0.0,0.0078125,0.0
grover_global_p2_seed2601,grover_global,0,Initial,10370,01000001000101,11.0,True,False,0->2->4->5->6,0.0078125,6.103515625e-05,0.0,0.0078125,0.0
grover_global_p2_seed2601,grover_global,0,Initial,0,00000000000000,12.0,False,False,,0.0078125,6.103515625e-05,0.0,0.0078125,0.0
grover_global_p2_seed2601,grover_global,0,Initial,1,10000000000000,14.0,False,False,,0.0078125,6.103515625e-05,0.0,0.0078125,0.0
grover_global_p2_seed2601,grover_global,0,Initial,8192,00000000000001,14.0,False,False,,0.0078125,6.103515625e-05,0.0,0.0078125,0.0
grover_global_p2_seed2601,grover_global,1,Cost-1,10377,10010001000101,10.0,True,True,0->1->2->4->5->6,0.0078125,6.103515625e-05,0.0,0.0078125,0.0
grover_global_p2_seed2601,grover_global,1,Cost-1,4233,10010001000010,11.0,True,False,0->1->2->4->6,0.0078125,6.103515625e-05,-0.016666523485863657,0.007811414974315062,-0.0001302011868088097
grover_global_p2_seed2601,grover_global,1,Cost-1,9289,10010010001001,11.0,True,False,0->1->2->3->5->6,0.0078125,6.103515625e-05,-0.016666523485863657,0.007811414974315062,-0.0001302011868088097
grover_global_p2_seed2601,grover_global,1,Cost-1,10370,01000001000101,11.0,True,False,0->2->4->5->6,0.0078125,6.103515625e-05,-0.016666523485863657,0.007811414974315062,-0.0001302011868088097
grover_global_p2_seed2601,grover_global,1,Cost-1,0,00000000000000,12.0,False,False,,0.0078125,6.103515625e-05,-0.033333046971727315,0.007808160198644116,-0.00026036620807985374
grover_global_p2_seed2601,grover_global,1,Cost-1,1,10000000000000,14.0,False,False,,0.0078125,6.103515625e-05,-0.06666609394345463,0.00779514561604867,-0.0005204431521282576
grover_global_p2_seed2601,grover_global,1,Cost-1,8192,00000000000001,14.0,False,False,,0.0078125,6.103515625e-05,-0.06666609394345463,0.00779514561604867,-0.0005204431521282576
grover_global_p2_seed2601,grover_global,2,Mixer-1,10377,10010001000101,10.0,True,True,0->1->2->4->5->6,0.004653186261541198,2.1652142384595747e-05,1.7257430579200765,-0.0007181144576431757,0.004597439940914899
grover_global_p2_seed2601,grover_global,2,Mixer-1,4233,10010001000010,11.0,True,False,0->1->2->4->6,0.004524761870309503,2.047346998300675e-05,1.7304208120652147,-0.0007191994833281139,0.004467238754106089
