run_id,algorithm,p,checkpoint_index,checkpoint,operation,layer,norm,probability_sum,expected_hc,expected_routing_term,expected_flow_penalty,expected_penalty_contribution,expected_total_qubo,p_feas,p_opt,invalid_mass,optimum_feasible_mass,other_feasible_mass,infeasible_mass,shannon_entropy,max_basis_probability,top_basis_index,top_basis_label,top_is_feasible,top_is_optimal,top_decoded_route,top_route_cost,top_total_energy
penalty_x_p1_seed2601,penalty_x,1,0,Initial,initial,0,1.0,1.0,86.0,26.0,10.0,60.0,86.0,0.001220703125,6.103515625e-05,0.998779296875,6.103515625e-05,0.00115966796875,0.998779296875,9.704060527839234,6.103515625e-05,0,00000000000000,False,False,,0.0,12.0
penalty_x_p1_seed2601,penalty_x,1,1,Cost-1,cost,1,1.0000000000000002,1.0,86.0,26.0,10.0,60.0,86.0,0.001220703125,6.103515625e-05,0.998779296875,6.103515625e-05,0.00115966796875,0.998779296875,9.704060527839232,6.103515625e-05,0,00000000000000,False,False,,0.0,12.0
penalty_x_p1_seed2601,penalty_x,1,2,Mixer-1,mixer,1,1.0000000000000002,1.0,86.0,26.0,10.0,60.0,86.0,0.001220703125,6.103515625e-05,0.998779296875,6.103515625e-05,0.00115966796875,0.998779296875,9.704060527839232,6.103515625e-05,0,00000000000000,False,False,,0.0,12.0
penalty_x_p2_seed2601,penalty_x,2,0,Initial,initial,0,1.0,1.0,86.0,26.0,10.0,60.0,86.0,0.001220703125,6.103515625e-05,0.998779296875,6.103515625e-05,0.00115966796875,0.998779296875,9.704060527839234,6.103515625e-05,0,00000000000000,False,False,,0.0,12.0
penalty_x_p2_seed2601,penalty_x,2,1,Cost-1,cost,1,1.0,1.0,86.0,26.0,10.0,60.0,86.0,0.001220703125,6.103515625e-05,0.998779296875,6.103515625e-05,0.00115966796875,0.998779296875,9.704060527839234,6.103515625e-05,0,00000000000000,False,False,,0.0,12.0
penalty_x_p2_seed2601,penalty_x,2,2,Mixer-1,mixer,1,0.9999999999999948,0.9999999999999999,85.99999999999999,25.999999999999996,9.999999999999998,59.999999999999986,85.99999999999999,0.0012207031249999998,6.1035156249999986e-05,0.9987792968749998,6.1035156249999986e-05,0.0011596679687499998,0.9987792968749998,9.704060527839232,6.1035156249999986e-05,0,00000000000000,False,False,,0.0,12.0
penalty_x_p2_seed2601,penalty_x,2,3,Cost-2,cost,2,0.9999999999999998,0.9999999999999998,86.0,26.0,10.0,60.0,86.0,0.0012207031249999996,6.1035156249999986e-05,0.9987792968749998,6.1035156249999986e-05,0.0011596679687499996,0.9987792968749998,9.704060527839232,6.103515624999996e-05,0,00000000000000,False,False,,0.0,12.0
penalty_x_p2_seed2601,penalty_x,2,4,Mixer-2,mixer,2,0.9999999999999998,0.9999999999999998,86.0,26.0,10.0,60.0,86.0,0.0012207031249999996,6.1035156249999986e-05,0.9987792968749998,6.1035156249999986e-05,0.0011596679687499996,0.9987792968749998,9.704060527839232,6.103515624999996e-05,0,00000000000000,False,False,,0.0,12.0
grover_global_p1_seed2601,grover_global,1,0,Initial,initial,0,1.0,1.0,86.0,26.0,10.0,60.0,86.0,0.001220703125,6.103515625e-05,0.998779296875,6.103515625e-05,0.00115966796875,0.998779296875,9.704060527839234,6.103515625e-05,0,00000000000000,False,False,,0.0,12.0
grover_global_p1_seed2601,grover_global,1,1,Cost-1,cost,1,1.0,1.0,86.0,26.0,10.0,60.0,86.0,0.001220703125,6.103515625e-05,0.998779296875,6.103515625e-05,0.00115966796875,0.998779296875,9.704060527839234,6.103515625e-05,0,00000000000000,False,False,,0.0,12.0
