run_id,algorithm,p,seed,gamma_1,gamma_2,beta_1,beta_2
penalty_x_p1_seed2601,penalty_x,1,2601,0.7900255394269697,,3.4615947789203796e-18,
penalty_x_p2_seed2601,penalty_x,2,2601,3.1553090124688648e-24,0.5731185010883972,1.852335136461336,7.338449745583263e-24
grover_global_p1_seed2601,grover_global,1,2601,4.5086053948254185e-20,,3.141590153589793,
grover_global_p2_seed2601,grover_global,2,2601,3.283305126715141,3.927029975204336e-22,1.625128160275464,3.1404789204288055
grover_feasible_p1_seed2601,grover_feasible,1,2601,1.2348798561457104e-17,,2.0357371719481434,
grover_feasible_p2_seed2601,grover_feasible,2,2601,2.155593096805546,8.037989859193368e-24,2.0343151384376092,2.6737883954659054
