run_id,category,objective_mode,alpha,depth_mode,declared_per_depth_budget,declared_total_budget,realized_depth,optimized_objective_value,final_ordinary_expectation,raw_expected_energy,p_feas,p_opt,invalid_mass,objective_evaluations,statevector_evaluations_scientific_run,statevector_evaluations_total_recorded,optimizer_runtime,overall_runtime,stop_reason,warning_count
expectation_fixed_p1,diagnostic,expectation,,fixed,100,100,1,0.06301802119405978,0.06301802119405978,22.414550175229774,0.3761915333269981,0.0008653914508403327,0.6238084666730019,23,16,17,0.6281945551745594,0.6886877571232617,fixed_depth_complete,0
expectation_fixed_p2,diagnostic,expectation,,fixed,200,200,2,0.03306899577078279,0.03306899577078279,16.514592166844206,0.638288143351339,0.0020495956333988997,0.361711856648661,43,31,32,0.8196919830515981,0.885096016805619,fixed_depth_complete,0
A0,primary,expectation,,fixed,300,300,3,0.0233783963553614,0.0233783963553614,14.605544082006197,0.7679391343581528,0.002289456526158069,0.23206086564184725,130,91,92,3.3116752421483397,3.424287019763142,fixed_depth_complete,0
A2,primary,expectation,,incremental,100,300,3,0.023376867282004686,0.023376867282004686,14.605242854554923,0.7687995881069637,0.0023075370079275992,0.2312004118930363,162,139,140,5.545090715400875,5.748881721869111,maximum_depth_reached,1
cvar_fixed_p1,diagnostic,cvar,0.25,fixed,100,100,1,0.005058570731962632,0.06301802119405978,22.414550175229774,0.3761915333269981,0.0008653914508403327,0.6238084666730019,31,21,22,0.16603107191622257,0.22429066943004727,fixed_depth_complete,0
cvar_fixed_p2,diagnostic,cvar,0.25,fixed,200,200,2,0.0050344368585574515,0.033946896568861594,16.687538624065727,0.6305339695289042,0.002053984716045521,0.36946603047109583,158,118,119,1.3845279612578452,1.4413943830877542,fixed_depth_complete,0
A1,primary,cvar,0.25,fixed,300,300,3,0.005013511159322313,0.03266252497248027,16.434517419578615,0.7354168972659434,0.003084575403376058,0.2645831027340566,206,170,171,2.742283457890153,2.779830265324563,fixed_depth_complete,0
A3,primary,cvar,0.25,incremental,100,300,2,0.0050344368585574515,0.03394689450703771,16.687538217886424,0.630533987522007,0.0020539847160454877,0.36946601247799304,131,99,100,1.063346506562084,1.2287207711488008,marginal_depth_gain_plateau,1
