algorithm,gamma,beta,expected_normalized_objective,expected_hc,p_feas,p_opt,probability_sum
grover_feasible,0.0,0.0,0.5499999999999999,12.2,1.0,0.049999999999999996,1.0
grover_feasible,0.0,0.1308996938995747,0.5499999999999997,12.199999999999994,0.9999999999999993,0.049999999999999975,0.9999999999999993
grover_feasible,0.0,0.2617993877991494,0.5499999999999999,12.2,1.0,0.049999999999999996,1.0
grover_feasible,0.0,0.39269908169872414,0.5499999999999999,12.2,1.0,0.049999999999999996,1.0
grover_feasible,0.0,0.5235987755982988,0.5499999999999999,12.2,1.0,0.049999999999999996,1.0
grover_feasible,0.0,0.6544984694978735,0.5500000000000003,12.200000000000001,1.0000000000000002,0.05000000000000001,1.0000000000000002
grover_feasible,0.0,0.7853981633974483,0.5499999999999999,12.2,1.0,0.049999999999999996,1.0
grover_feasible,0.0,0.916297857297023,0.5500000000000003,12.200000000000001,1.0000000000000002,0.05000000000000001,1.0000000000000002
grover_feasible,0.0,1.0471975511965976,0.5499999999999999,12.2,1.0,0.049999999999999996,1.0
grover_feasible,0.0,1.1780972450961724,0.5499999999999999,12.2,1.0,0.049999999999999996,1.0
grover_feasible,0.0,1.308996938995747,0.5499999999999999,12.2,1.0,0.049999999999999996,1.0
grover_feasible,0.0,1.4398966328953218,0.5499999999999997,12.199999999999994,0.9999999999999993,0.049999999999999975,0.9999999999999993
grover_feasible,0.0,1.5707963267948966,0.5499999999999999,12.2,1.0,0.049999999999999996,1.0
grover_feasible,0.0,1.7016960206944711,0.5499999999999997,12.199999999999996,0.9999999999999994,0.04999999999999998,0.9999999999999994
grover_feasible,0.0,1.832595714594046,0.5499999999999999,12.2,1.0,0.049999999999999996,1.0
grover_feasible,0.0,1.9634954084936205,0.5499999999999999,12.2,1.0,0.049999999999999996,1.0
grover_feasible,0.0,2.0943951023931953,0.5499999999999999,12.2,1.0,0.049999999999999996,1.0
grover_feasible,0.0,2.22529479629277,0.5500000000000003,12.200000000000001,1.0000000000000002,0.05000000000000001,1.0000000000000002
grover_feasible,0.0,2.356194490192345,0.5500000000000003,12.200000000000001,1.0000000000000002,0.05000000000000001,1.0000000000000002
grover_feasible,0.0,2.4870941840919194,0.5499999999999999,12.2,1.0,0.049999999999999996,1.0
grover_feasible,0.0,2.617993877991494,0.5499999999999997,12.199999999999994,0.9999999999999993,0.049999999999999975,0.9999999999999993
grover_feasible,0.0,2.748893571891069,0.5499999999999999,12.2,1.0,0.049999999999999996,1.0
grover_feasible,0.0,2.8797932657906435,0.5499999999999999,12.2,1.0,0.049999999999999996,1.0
grover_feasible,0.0,3.010692959690218,0.5500000000000004,12.200000000000008,1.0000000000000004,0.050000000000000024,1.0000000000000004
grover_feasible,0.0,3.141592653589793,0.5499999999999999,12.2,1.0,0.049999999999999996,1.0
grover_feasible,0.2617993877991494,0.0,0.5499999999999998,12.199999999999996,0.9999999999999999,0.049999999999999996,0.9999999999999999
grover_feasible,0.2617993877991494,0.1308996938995747,0.5545077732892404,12.218031093156958,0.9999999999999999,0.048138104994488465,0.9999999999999999
