algorithm,gamma,beta,expected_normalized_objective,expected_hc,p_feas,p_opt,probability_sum
penalty_x,0.0,0.0,0.38578680203045684,86.0,0.001220703125,6.103515625e-05,1.0
penalty_x,0.0,0.1308996938995747,0.3857868020304561,85.99999999999989,0.0012207031249999972,6.103515624999988e-05,0.9999999999999981
penalty_x,0.0,0.2617993877991494,0.38578680203045684,86.0,0.001220703125,6.103515625e-05,1.0
penalty_x,0.0,0.39269908169872414,0.3857868020304567,85.99999999999999,0.0012207031249999993,6.103515624999996e-05,0.9999999999999996
penalty_x,0.0,0.5235987755982988,0.38578680203045757,86.00000000000006,0.0012207031250000017,6.103515625000011e-05,1.0000000000000018
penalty_x,0.0,0.6544984694978735,0.38578680203045723,86.00000000000001,0.0012207031250000009,6.103515625000005e-05,1.0000000000000004
penalty_x,0.0,0.7853981633974483,0.3857868020304574,86.00000000000003,0.0012207031250000013,6.103515625000008e-05,1.0000000000000016
penalty_x,0.0,0.916297857297023,0.3857868020304567,85.99999999999999,0.0012207031249999993,6.103515624999996e-05,0.9999999999999996
penalty_x,0.0,1.0471975511965976,0.38578680203045684,86.0,0.001220703125,6.103515625e-05,1.0
penalty_x,0.0,1.1780972450961724,0.385786802030457,86.00000000000001,0.0012207031250000004,6.103515625000003e-05,1.0000000000000002
penalty_x,0.0,1.308996938995747,0.3857868020304565,85.99999999999999,0.0012207031249999991,6.1035156249999946e-05,0.9999999999999996
penalty_x,0.0,1.4398966328953218,0.3857868020304567,85.99999999999999,0.0012207031249999993,6.103515624999996e-05,0.9999999999999996
penalty_x,0.0,1.5707963267948966,0.38578680203045723,86.00000000000001,0.0012207031250000009,6.103515625000005e-05,1.0000000000000004
penalty_x,0.0,1.7016960206944711,0.38578680203045684,86.0,0.001220703125,6.103515625e-05,1.0
penalty_x,0.0,1.832595714594046,0.38578680203045634,85.99999999999997,0.0012207031249999987,6.103515624999992e-05,0.9999999999999983
penalty_x,0.0,1.9634954084936205,0.38578680203045723,86.00000000000001,0.0012207031250000009,6.103515625000005e-05,1.0000000000000004
penalty_x,0.0,2.0943951023931953,0.3857868020304565,85.99999999999999,0.0012207031249999991,6.1035156249999946e-05,0.9999999999999996
penalty_x,0.0,2.22529479629277,0.3857868020304565,85.99999999999999,0.0012207031249999991,6.1035156249999946e-05,0.9999999999999996
penalty_x,0.0,2.356194490192345,0.385786802030457,86.00000000000001,0.0012207031250000004,6.103515625000003e-05,1.0000000000000002
penalty_x,0.0,2.4870941840919194,0.38578680203045757,86.00000000000006,0.0012207031250000017,6.103515625000011e-05,1.0000000000000018
penalty_x,0.0,2.617993877991494,0.38578680203045723,86.00000000000001,0.0012207031250000009,6.103515625000005e-05,1.0000000000000004
penalty_x,0.0,2.748893571891069,0.3857868020304565,85.99999999999999,0.0012207031249999991,6.1035156249999946e-05,0.9999999999999996
penalty_x,0.0,2.8797932657906435,0.385786802030457,86.00000000000001,0.0012207031250000004,6.103515625000003e-05,1.0000000000000002
penalty_x,0.0,3.010692959690218,0.38578680203045684,86.0,0.001220703125,6.103515625e-05,1.0
penalty_x,0.0,3.141592653589793,0.38578680203045684,86.0,0.001220703125,6.103515625e-05,1.0
penalty_x,0.2617993877991494,0.0,0.38578680203045684,86.0,0.001220703125,6.103515625e-05,1.0
penalty_x,0.2617993877991494,0.1308996938995747,0.38617632332342805,86.0767356947153,0.0012147844999376841,6.0732581228613715e-05,0.9999999999999986
penalty_x,0.2617993877991494,0.2617993877991494,0.38656560113810623,86.15342342420692,0.001208898394331259,6.043169157075208e-05,1.0000000000000002
penalty_x,0.2617993877991494,0.39269908169872414,0.38695428050117153,86.22999325873079,0.0012030496691085996,6.013273212126879e-05,0.9999999999999993
penalty_x,0.2617993877991494,0.5235987755982988,0.38734200714376876,86.30637540732245,0.0011972430768382519,5.98359421810883e-05,1.0000000000000016
penalty_x,0.2617993877991494,0.6544984694978735,0.3877284279307698,86.38250030236166,0.001191483257670032,5.954155530611065e-05,1.0000000000000004
penalty_x,0.2617993877991494,0.7853981633974483,0.3881131912885375,86.45829868384189,0.0011857747356430071,5.9249799124780435e-05,1.0000000000000013
