algorithm,depth,optimizer_wall_time_seconds,evaluation_budget_used,optimizer_reason
penalty_x,102,68.66600949998247,386,evaluation_budget_exhausted
penalty_x,103,70.90525999997044,389,evaluation_budget_exhausted
penalty_x,104,69.77964029996656,392,evaluation_budget_exhausted
penalty_x,105,71.7390185999684,395,evaluation_budget_exhausted
penalty_x,106,83.80594559997553,398,evaluation_budget_exhausted
penalty_x,107,75.88236970000435,400,evaluation_budget_exhausted
penalty_x,108,75.94702859997051,400,evaluation_budget_exhausted
penalty_x,109,74.28540240001166,400,evaluation_budget_exhausted
penalty_x,110,76.0898924000212,400,evaluation_budget_exhausted
grover_cost_phase,1,0.03612619999330491,17,converged
grover_cost_phase,2,0.0891138999722898,86,evaluation_budget_exhausted
grover_cost_phase,3,0.10013729997444898,89,evaluation_budget_exhausted
grover_cost_phase,4,0.12314160005189478,92,evaluation_budget_exhausted
grover_cost_phase,5,0.1256165000377223,95,evaluation_budget_exhausted
grover_cost_phase,6,0.12205530004575849,98,evaluation_budget_exhausted
grover_cost_phase,7,0.1408868000144139,101,evaluation_budget_exhausted
grover_cost_phase,8,0.17773039999883622,104,evaluation_budget_exhausted
grover_cost_phase,9,0.1671998999081552,107,evaluation_budget_exhausted
grover_cost_phase,10,0.3163784999633208,110,evaluation_budget_exhausted
grover_cost_phase,11,0.4740685001015663,113,evaluation_budget_exhausted
grover_cost_phase,12,0.37949740001931787,116,evaluation_budget_exhausted
grover_cost_phase,13,0.3388482000445947,119,evaluation_budget_exhausted
grover_cost_phase,14,0.34696329990401864,122,evaluation_budget_exhausted
grover_cost_phase,15,0.29536270000971854,125,evaluation_budget_exhausted
grover_cost_phase,16,0.4293620999669656,128,evaluation_budget_exhausted
grover_cost_phase,17,0.38266669993754476,131,evaluation_budget_exhausted
grover_cost_phase,18,0.40745329996570945,134,evaluation_budget_exhausted
grover_cost_phase,19,0.4043508000904694,137,evaluation_budget_exhausted
grover_cost_phase,20,0.8183156999293715,140,evaluation_budget_exhausted
grover_cost_phase,21,0.7012963000452146,143,evaluation_budget_exhausted
grover_cost_phase,22,0.7535935000050813,146,evaluation_budget_exhausted
grover_cost_phase,23,0.5468126999912784,149,evaluation_budget_exhausted
grover_cost_phase,24,0.4561930999625474,152,evaluation_budget_exhausted
grover_cost_phase,25,0.5408244000282139,155,evaluation_budget_exhausted
grover_cost_phase,26,0.5193593000294641,158,evaluation_budget_exhausted
grover_cost_phase,27,0.6506647999631241,161,evaluation_budget_exhausted
grover_cost_phase,28,0.7415778000140563,164,evaluation_budget_exhausted
grover_cost_phase,29,0.5946525000035763,167,evaluation_budget_exhausted
grover_cost_phase,30,0.7612214999971911,170,evaluation_budget_exhausted
grover_cost_phase,31,0.7206528999377042,173,evaluation_budget_exhausted
grover_cost_phase,32,1.1470764999976382,176,evaluation_budget_exhausted
grover_cost_phase,33,1.0773619000101462,179,evaluation_budget_exhausted
grover_cost_phase,34,1.2958918999647722,182,evaluation_budget_exhausted
grover_cost_phase,35,1.228629499906674,185,evaluation_budget_exhausted
grover_cost_phase,36,1.2759786000242457,188,evaluation_budget_exhausted
grover_cost_phase,37,1.3362978999502957,191,evaluation_budget_exhausted
grover_cost_phase,38,1.363039999967441,194,evaluation_budget_exhausted
grover_cost_phase,39,1.586940599954687,197,evaluation_budget_exhausted
grover_cost_phase,40,1.458755899919197,200,evaluation_budget_exhausted
grover_cost_phase,41,1.5526660999748856,203,evaluation_budget_exhausted
grover_cost_phase,42,1.8899808999849483,206,evaluation_budget_exhausted
grover_cost_phase,43,1.9455067000817508,209,evaluation_budget_exhausted
grover_cost_phase,44,2.1047499000560492,212,evaluation_budget_exhausted
grover_cost_phase,45,2.0759336000774056,215,evaluation_budget_exhausted
grover_cost_phase,46,1.4728815000271425,218,evaluation_budget_exhausted
grover_cost_phase,47,2.9191394000081345,221,evaluation_budget_exhausted
grover_cost_phase,48,2.8656617999076843,224,evaluation_budget_exhausted
grover_cost_phase,49,4.948934099986218,227,evaluation_budget_exhausted
grover_cost_phase,50,1.6071256999857724,230,evaluation_budget_exhausted
grover_cost_phase,51,6.736618499970064,233,evaluation_budget_exhausted
grover_cost_phase,52,5.929502499988303,236,evaluation_budget_exhausted
grover_cost_phase,53,1.8555241000140086,239,evaluation_budget_exhausted
grover_cost_phase,54,1.8106520000146702,242,evaluation_budget_exhausted
grover_cost_phase,55,2.412559099961072,245,evaluation_budget_exhausted
grover_cost_phase,56,2.314665299956687,248,evaluation_budget_exhausted
grover_cost_phase,57,2.7301607000408694,251,evaluation_budget_exhausted
grover_cost_phase,58,3.320922899991274,254,evaluation_budget_exhausted
grover_cost_phase,59,5.192802099976689,257,evaluation_budget_exhausted
grover_cost_phase,60,2.3367304999846965,260,evaluation_budget_exhausted
