objective,depth,seed_count,seeds,final_p_opt_median,final_p_opt_min,final_p_opt_max,expected_route_cost_median,expected_route_cost_min,expected_route_cost_max,probability_entropy_median,probability_entropy_min,probability_entropy_max,p_opt_amplification_median,p_opt_amplification_min,p_opt_amplification_max,optimizer_evaluations_median,optimizer_evaluations_min,optimizer_evaluations_max,optimizer_runtime_median,optimizer_runtime_min,optimizer_runtime_max
expectation,1,3,"[2601, 2602, 2603]",0.07119330708632546,0.02838213390205874,0.1228596491509879,11.86779950494663,11.546042388383857,12.008381290871498,2.4910467653396293,2.3133656812113013,2.535548821182219,1.8911533061399515,0.7539327580203796,3.263599363369278,100.0,100.0,100.0,0.16273936908692122,0.15349562978371978,0.19409517804160714
expectation,2,3,"[2601, 2602, 2603]",0.04455941581880775,0.003271154833674731,0.07204238138981336,11.690213432768356,11.545327222979736,11.899368661774666,2.549448912528199,2.441719220818066,2.655383696073,1.1836602342861122,0.08689377599917511,1.9137078093919582,100.0,100.0,100.0,0.18776416219770908,0.1598971839994192,0.21629813639447093
expectation,3,3,"[2601, 2602, 2603]",0.2649009394352171,0.2502224791704246,0.45787189669012895,11.385905515065627,11.347436207897696,11.518228235848026,2.3974417133486075,2.012708212676764,2.491491799935037,7.03673291655128,6.6468195975205075,12.162743755731887,100.0,100.0,100.0,0.1873827250674367,0.18581094173714519,0.19941197196021676
cvar,1,3,"[2601, 2602, 2603]",0.1448092794905909,0.06214898750686562,0.15102815100944078,11.67579407143949,11.629477694165844,12.078289957067947,2.5521799818138016,2.542098697075974,2.5590358862506326,3.846661419117817,1.6509032661503487,4.011857276912033,100.0,100.0,100.0,0.15268441289663315,0.1517236097715795,0.15408035600557923
cvar,2,3,"[2601, 2602, 2603]",0.15078788515810426,0.11524907638295305,0.18582675584021377,11.902816026017337,11.858311977429663,11.991841750415633,2.629809687950925,2.600162378564321,2.638711071764092,4.005474941581597,3.0614348560450733,4.936234852109891,100.0,99.0,100.0,0.20694283535704017,0.18957146955654025,0.22726204013451934
cvar,3,3,"[2601, 2602, 2603]",0.2581761880356989,0.24851598187550655,0.3408484613109407,11.646844027269141,11.549683670140679,11.781493860274605,2.4819249959494503,2.3306474461776268,2.543877491928913,6.858099048247516,6.601488819484167,9.05417546791716,48.0,36.0,100.0,0.09145244909450412,0.06014898419380188,0.19638735800981522
ascending_cvar,1,3,"[2601, 2602, 2603]",0.1395727237932293,0.03764544463697589,0.1419851270459199,11.598087463839782,11.162769670333342,11.720164068867863,2.5584924167970393,1.098031877253192,2.5814807831926965,3.707559444154871,1.0,3.771641653196469,52.0,50.0,53.0,0.08226008014753461,0.0652758190408349,0.08302529295906425
ascending_cvar,2,3,"[2601, 2602, 2603]",0.08664396096516934,0.06545149414432544,0.12801439050810617,12.061515274329086,11.875076032999985,12.107700643647181,2.628060704365484,2.621076374360576,2.7577836694147595,2.301578897545187,1.7386298601461612,3.40052805173587,67.0,62.0,70.0,0.09387878002598882,0.07905965205281973,0.09511292073875666
ascending_cvar,3,3,"[2601, 2602, 2603]",0.26319045907666766,0.20540073489909944,0.3433439839093396,11.631875240776749,11.533375730870363,11.64783557746251,2.478616666627391,2.3000324515484856,2.6115734418250827,6.991296333850664,5.456190964931569,9.12046562924913,97.0,94.0,98.0,0.1418284340761602,0.135740305762738,0.14829479064792395
