run_id,objective,depth,seed,initialization_mode,bias_lambda,evaluation_budget,optimizer_evaluations,statevector_evaluations,optimizer_success,optimizer_reason,optimizer_runtime,optimizer_reported_objective,final_objective_at_terminal_alpha,terminal_alpha,initial_p_opt,final_p_opt,p_opt_amplification,p_feas,optimal_state_rank,top3_lowest_cost_mass,top5_lowest_cost_mass,expected_route_cost,expected_normalized_cost,most_probable_route_id,most_probable_route,most_probable_route_cost,most_probable_route_probability,probability_entropy,final_parameters,probability_sum
expectation_p1_seed2601,expectation,1,2601,incumbent_biased_feasible,1.0,100,100,101,False,evaluation_budget_exhausted,0.19409517804160714,0.38651059709596414,0.38651059709596414,,0.03764544463697589,0.1228596491509879,3.263599363369278,0.9999999999999999,4,0.3064709929350714,0.4411859689897619,11.546042388383857,0.38651059709596414,10,0->2->3->5->6,12,0.14705635718118024,2.4910467653396293,"[6.259657538112805,2.5926890768184507]",1.0
expectation_p1_seed2602,expectation,1,2602,incumbent_biased_feasible,1.0,100,100,101,False,evaluation_budget_exhausted,0.16273936908692122,0.4669498762366579,0.4669498762366579,,0.03764544463697589,0.07119330708632546,1.8911533061399515,1.0,5,0.20898707444727083,0.3587446215014508,11.86779950494663,0.4669498762366579,9,0->2->3->4->5->6,12,0.1876117845071219,2.535548821182219,"[2.1346514365146834,2.748846284693324]",1.0
expectation_p1_seed2603,expectation,1,2603,incumbent_biased_feasible,1.0,100,100,101,False,evaluation_budget_exhausted,0.15349562978371978,0.502095322717875,0.502095322717875,,0.03764544463697589,0.02838213390205874,0.7539327580203796,1.0,11,0.15811006134246067,0.20276727831613117,12.008381290871498,0.502095322717875,11,0->2->4->6,12,0.35776610732370767,2.3133656812113013,"[2.536078103917649,1.0252472990781716]",0.9999999999999999
expectation_p2_seed2601,expectation,2,2601,incumbent_biased_feasible,1.0,100,100,100,False,evaluation_budget_exhausted,0.18776416219770908,0.3863318057449342,0.3863318057449342,,0.03764544463697589,0.07204238138981336,1.9137078093919582,1.0000000000000002,6,0.39696857310391975,0.622779145955191,11.545327222979736,0.3863318057449342,2,0->1->2->3->5->6,11,0.18132701579689178,2.549448912528199,"[1.7360864423713849,2.716210280435875,1.7114090196105451,2.3063056054615023]",1.0000000000000002
expectation_p2_seed2602,expectation,2,2602,incumbent_biased_feasible,1.0,100,100,101,False,evaluation_budget_exhausted,0.21629813639447093,0.42255335819208945,0.42255335819208945,,0.03764544463697589,0.003271154833674731,0.08689377599917511,1.0,19,0.26088748882520485,0.4940098452403612,11.690213432768356,0.42255335819208945,2,0->1->2->3->5->6,11,0.23853310320304327,2.441719220818066,"[0.7056344400504178,3.528869461522921,2.866051958375344,1.063122867070732]",1.0
expectation_p2_seed2603,expectation,2,2603,incumbent_biased_feasible,1.0,100,100,100,False,evaluation_budget_exhausted,0.1598971839994192,0.4748421654436668,0.4748421654436668,,0.03764544463697589,0.04455941581880775,1.1836602342861122,1.0,9,0.22499337696779048,0.4053350098966284,11.899368661774666,0.4748421654436668,5,0->1->2->3->4->6,12,0.14467033068629276,2.655383696073,"[2.5579259892942137,1.5161881699992235,0.6603921329556891,2.796728994568053]",1.0
expectation_p3_seed2601,expectation,3,2601,incumbent_biased_feasible,1.0,100,100,99,False,evaluation_budget_exhausted,0.18581094173714519,0.33685905197442434,0.33685905197442434,,0.03764544463697589,0.2649009394352171,7.03673291655128,1.0,1,0.510510559170079,0.5744944622526139,11.347436207897696,0.33685905197442434,0,0->1->2->4->5->6,10,0.2649009394352171,2.3974417133486075,"[1.3262249166585074,2.750608060263347,4.160954640028342,2.4258214019569024,2.7509768797221335,1.6780241268915277]",1.0
expectation_p3_seed2602,expectation,3,2602,incumbent_biased_feasible,1.0,100,100,100,False,evaluation_budget_exhausted,0.1873827250674367,0.3464763787664065,0.3464763787664065,,0.03764544463697589,0.45787189669012895,12.162743755731887,0.9999999999999999,1,0.4677825423742501,0.4780914408319569,11.385905515065627,0.3464763787664065,0,0->1->2->4->5->6,10,0.45787189669012895,2.012708212676764,"[0.4843059377032318,4.55793603676451,3.7584229327598178,1.05299622089011,1.6542545350997728,2.6956471304524254]",0.9999999999999999
expectation_p3_seed2603,expectation,3,2603,incumbent_biased_feasible,1.0,100,100,99,False,evaluation_budget_exhausted,0.19941197196021676,0.37955705896200626,0.37955705896200626,,0.03764544463697589,0.2502224791704246,6.6468195975205075,1.0,1,0.3037802598600171,0.4430456597371392,11.518228235848026,0.37955705896200626,0,0->1->2->4->5->6,10,0.2502224791704246,2.491491799935037,"[2.689372154364658,0.7795917507106128,1.0291091878059206,2.662012475723898,1.004985787844132,2.7784162002600152]",1.0
cvar_p1_seed2601,cvar,1,2601,incumbent_biased_feasible,1.0,100,100,101,False,evaluation_budget_exhausted,0.15408035600557923,0.10519072050940906,0.10519072050940906,0.25,0.03764544463697589,0.1448092794905909,3.846661419117817,0.9999999999999997,2,0.15540014321902515,0.46446921706692196,11.67579407143949,0.41894851785987325,4,0->2->4->5->6,11,0.16637946933482284,2.5590358862506326,"[1.9911824242404612,1.8100769235939762]",0.9999999999999999
