run_id,algorithm,depth,budget_multiplier,parameterization,objective_kind,trace_evaluations_including_initial,initial_training_objective,final_training_objective,objective_improvement,initial_p_opt,final_p_opt,p_opt_change,training_objective_p_opt_pearson,objective_improved_but_p_opt_decreased
bfo-cae79171c3895ff72bfa6314db8ae3ae3269d684b298ae12e42b59d69dd55a06,penalty_x,50,25,DIRECT,cvar_0.25,2501,13.26545419973522,12.913986148612953,0.35146805112226787,6.346238194978733e-05,9.514092115650042e-05,3.167853920671308e-05,-0.025425391195435028,False
bfo-c2de442298ef9d1bad6f2c15b55cfab9991818fb30fccbb896e46c60c11a9741,penalty_x,50,10,DIRECT,expectation,1001,26.38109657842864,24.92093544092623,1.4601611375024106,6.346238194978733e-05,4.569702951944359e-05,-1.7765352430343742e-05,-0.004230047500541301,True
bfo-c01d394905829b9aa817de3af2fd90c21c9b5260140f006965b213c4a33a6df5,penalty_x,50,25,DIRECT,expectation,2501,26.38109657842864,24.635879047412857,1.7452175310157827,6.346238194978733e-05,4.465714763223113e-05,-1.8805234317556203e-05,-0.007769769731838904,True
bfo-a7d84a931ad75b81180fb1321625d2044481cdc1305f26da0079240dfc24f3c7,penalty_x,50,50,DIRECT,expectation,4393,26.38109657842864,24.62793223685648,1.753164341572159,6.346238194978733e-05,4.4299058593429666e-05,-1.9163323356357667e-05,-0.006720234715377637,True
bfo-a6b1df7d03643528733ada74b6f27344d79be4d3b41af134253a49af49fb7376,penalty_x,100,25,DIRECT,cvar_0.10,5001,11.971131007107113,11.845083483216012,0.12604752389110097,0.0001917503116069,0.0008942219987794758,0.0007024716871725759,-0.18897591282079743,False
bfo-5c1d45c1c22a33fa7148f7cf6359f7a4951cde9abeacf2c5b3b930903b08605f,penalty_x,100,25,DIRECT,cvar_0.25,5001,12.235439566491184,11.835463450884557,0.39997611560662705,0.0001917503116069,0.003325365570659705,0.003133615259052805,-0.0070480444613186715,False
bfo-f8abb1ebb3c808a7a7407d5b83d8f34061bb56fcaedf0088e31b8bfdbd917edf,penalty_x,100,10,DIRECT,expectation,2001,19.306837112738037,18.27723878210647,1.0295983306315684,0.0001917503116069,0.00019224057799519843,4.902663882984273e-07,-0.030537246181032568,False
bfo-653b8be3d2a6b9a5aecee8af3dcb402148a6c9c3f170605d368251467de1e698,penalty_x,100,25,DIRECT,expectation,5001,19.306837112738037,17.983994409589585,1.3228427031484529,0.0001917503116069,0.00023062941055361386,3.887909894671385e-05,-0.07563621521492743,False
bfo-e3d600da7646920bdae2ed660958d7da1a20580b993484eb8813b0f3ae6137e0,penalty_x,100,50,DIRECT,expectation,10001,19.306837112738037,17.65457552908316,1.6522615836548766,0.0001917503116069,0.0003098777593561756,0.0001181274477492756,-0.023237631130640143,False
bfo-0a80f54d196a3d35410f7b5ab05cfc3126f9016741c166f95ec7df565fec15b8,penalty_x,100,25,FOURIER_Q10,cvar_0.10,5001,47.26980034111649,12.490914390019245,34.77888595109725,1.8985273225815e-05,0.005544115385466201,0.005525130112240386,-0.7389935811706208,False
bfo-33f5f8d28e9ef3f08b8672846e45c4db2c725a78621dc3197552972a015bc3fe,penalty_x,100,25,FOURIER_Q10,cvar_0.25,5001,60.14132725006359,22.986739655445017,37.154587594618576,1.8985273225815e-05,0.0013546037460676872,0.0013356184728418722,-0.790191859378628,False
